"","county","state","population"
"1","Autauga County","AL",58877
"2","Baldwin County","AL",233140
"3","Barbour County","AL",25180
"4","Bibb County","AL",22223
"5","Blount County","AL",59081
"6","Bullock County","AL",10309
"7","Butler County","AL",19045
"8","Calhoun County","AL",116266
"9","Chambers County","AL",34678
"10","Cherokee County","AL",24958
"11","Chilton County","AL",45024
"12","Choctaw County","AL",12619
"13","Clarke County","AL",22995
"14","Clay County","AL",14193
"15","Cleburne County","AL",15035
"16","Coffee County","AL",53565
"17","Colbert County","AL",57236
"18","Conecuh County","AL",11552
"19","Coosa County","AL",10383
"20","Covington County","AL",37469
"21","Crenshaw County","AL",13157
"22","Cullman County","AL",88044
"23","Dale County","AL",49214
"24","Dallas County","AL",38190
"25","DeKalb County","AL",71630
"26","Elmore County","AL",88116
"27","Escambia County","AL",36665
"28","Etowah County","AL",103393
"29","Fayette County","AL",16307
"30","Franklin County","AL",32063
"31","Geneva County","AL",26675
"32","Greene County","AL",7704
"33","Hale County","AL",14792
"34","Henry County","AL",17167
"35","Houston County","AL",107190
"36","Jackson County","AL",52519
"37","Jefferson County","AL",673341
"38","Lamar County","AL",13943
"39","Lauderdale County","AL",93610
"40","Lawrence County","AL",33063
"41","Lee County","AL",174601
"42","Limestone County","AL",104322
"43","Lowndes County","AL",10297
"44","Macon County","AL",19476
"45","Madison County","AL",389696
"46","Marengo County","AL",19264
"47","Marion County","AL",29287
"48","Marshall County","AL",97608
"49","Mobile County","AL",414250
"50","Monroe County","AL",19723
"51","Montgomery County","AL",228448
"52","Morgan County","AL",123336
"53","Perry County","AL",8452
"54","Pickens County","AL",19062
"55","Pike County","AL",32981
"56","Randolph County","AL",21971
"57","Russell County","AL",59226
"58","St. Clair County","AL",91333
"59","Shelby County","AL",223708
"60","Sumter County","AL",12295
"61","Talladega County","AL",82069
"62","Tallapoosa County","AL",41229
"63","Tuscaloosa County","AL",227153
"64","Walker County","AL",65100
"65","Washington County","AL",15296
"66","Wilcox County","AL",10518
"67","Winston County","AL",23491
"68","Aleutians East Borough","AK",3418
"69","Aleutians West Census Area","AK",5206
"70","Anchorage Municipality","AK",290637
"71","Bethel Census Area","AK",18648
"72","Bristol Bay Borough","AK",831
"73","Chugach Census Area","AK",7073
"74","Copper River Census Area","AK",2616
"75","Denali Borough","AK",1611
"76","Dillingham Census Area","AK",4839
"77","Fairbanks North Star Borough","AK",95286
"78","Haines Borough","AK",2085
"79","Hoonah-Angoon Census Area","AK",2361
"80","Juneau City and Borough","AK",32195
"81","Kenai Peninsula Borough","AK",58893
"82","Ketchikan Gateway Borough","AK",13902
"83","Kodiak Island Borough","AK",13023
"84","Kusilvak Census Area","AK",8357
"85","Lake and Peninsula Borough","AK",1454
"86","Matanuska-Susitna Borough","AK",107460
"87","Nome Census Area","AK",10032
"88","North Slope Borough","AK",10993
"89","Northwest Arctic Borough","AK",7784
"90","Petersburg Borough","AK",3401
"91","Prince of Wales-Hyder Census Area","AK",5725
"92","Sitka City and Borough","AK",8428
"93","Skagway Municipality","AK",1239
"94","Southeast Fairbanks Census Area","AK",6831
"95","Wrangell City and Borough","AK",2130
"96","Yakutat City and Borough","AK",683
"97","Yukon-Koyukuk Census Area","AK",5300
"98","Apache County","AZ",65897
"99","Cochise County","AZ",125398
"100","Coconino County","AZ",145116
"101","Gila County","AZ",53306
"102","Graham County","AZ",38614
"103","Greenlee County","AZ",9522
"104","La Paz County","AZ",16580
"105","Maricopa County","AZ",4438342
"106","Mohave County","AZ",214070
"107","Navajo County","AZ",106802
"108","Pima County","AZ",1045599
"109","Pinal County","AZ",429583
"110","Santa Cruz County","AZ",47653
"111","Yavapai County","AZ",237067
"112","Yuma County","AZ",204437
"113","Arkansas County","AR",17105
"114","Ashley County","AR",18960
"115","Baxter County","AR",41655
"116","Benton County","AR",286353
"117","Boone County","AR",37352
"118","Bradley County","AR",10498
"119","Calhoun County","AR",4725
"120","Carroll County","AR",28202
"121","Chicot County","AR",10143
"122","Clark County","AR",21362
"123","Clay County","AR",14508
"124","Cleburne County","AR",24665
"125","Cleveland County","AR",7544
"126","Columbia County","AR",22741
"127","Conway County","AR",20729
"128","Craighead County","AR",111576
"129","Crawford County","AR",60107
"130","Crittenden County","AR",48067
"131","Cross County","AR",16762
"132","Dallas County","AR",6445
"133","Desha County","AR",11330
"134","Drew County","AR",17309
"135","Faulkner County","AR",123666
"136","Franklin County","AR",17122
"137","Fulton County","AR",12033
"138","Garland County","AR",100162
"139","Grant County","AR",17975
"140","Greene County","AR",45818
"141","Hempstead County","AR",19993
"142","Hot Spring County","AR",33034
"143","Howard County","AR",12755
"144","Independence County","AR",37892
"145","Izard County","AR",13576
"146","Jackson County","AR",16737
"147","Jefferson County","AR",66811
"148","Johnson County","AR",25692
"149","Lafayette County","AR",6294
"150","Lawrence County","AR",16196
"151","Lee County","AR",8529
"152","Lincoln County","AR",12879
"153","Little River County","AR",11971
"154","Logan County","AR",21097
"155","Lonoke County","AR",74042
"156","Madison County","AR",16551
"157","Marion County","AR",16862
"158","Miller County","AR",42570
"159","Mississippi County","AR",40503
"160","Monroe County","AR",6765
"161","Montgomery County","AR",8459
"162","Nevada County","AR",8284
"163","Newton County","AR",7198
"164","Ouachita County","AR",22592
"165","Perry County","AR",9997
"166","Phillips County","AR",16445
"167","Pike County","AR",10165
"168","Poinsett County","AR",22893
"169","Polk County","AR",19182
"170","Pope County","AR",63346
"171","Prairie County","AR",8248
"172","Pulaski County","AR",399073
"173","Randolph County","AR",18581
"174","St. Francis County","AR",23046
"175","Saline County","AR",123681
"176","Scott County","AR",9811
"177","Searcy County","AR",7827
"178","Sebastian County","AR",127739
"179","Sevier County","AR",15778
"180","Sharp County","AR",17282
"181","Stone County","AR",12364
"182","Union County","AR",38925
"183","Van Buren County","AR",15765
"184","Washington County","AR",246662
"185","White County","AR",76810
"186","Woodruff County","AR",6200
"187","Yell County","AR",20216
"188","Alameda County","CA",1679844
"189","Alpine County","CA",1198
"190","Amador County","CA",40541
"191","Butte County","CA",210083
"192","Calaveras County","CA",45327
"193","Colusa County","CA",21853
"194","Contra Costa County","CA",1165562
"195","Del Norte County","CA",27709
"196","El Dorado County","CA",191114
"197","Fresno County","CA",1008966
"198","Glenn County","CA",28893
"199","Humboldt County","CA",136351
"200","Imperial County","CA",179489
"201","Inyo County","CA",19023
"202","Kern County","CA",909997
"203","Kings County","CA",152627
"204","Lake County","CA",68174
"205","Lassen County","CA",32719
"206","Los Angeles County","CA",9989165
"207","Madera County","CA",156620
"208","Marin County","CA",261776
"209","Mariposa County","CA",17124
"210","Mendocino County","CA",91354
"211","Merced County","CA",281726
"212","Modoc County","CA",8658
"213","Mono County","CA",13206
"214","Monterey County","CA",438500
"215","Napa County","CA",137608
"216","Nevada County","CA",102199
"217","Orange County","CA",3184101
"218","Placer County","CA",405741
"219","Plumas County","CA",19769
"220","Riverside County","CA",2422764
"221","Sacramento County","CA",1586241
"222","San Benito County","CA",64507
"223","San Bernardino County","CA",2182740
"224","San Diego County","CA",3297252
"225","San Francisco County","CA",870014
"226","San Joaquin County","CA",780517
"227","San Luis Obispo County","CA",282231
"228","San Mateo County","CA",762453
"229","Santa Barbara County","CA",448096
"230","Santa Clara County","CA",1930598
"231","Santa Cruz County","CA",270353
"232","Shasta County","CA",181893
"233","Sierra County","CA",3228
"234","Siskiyou County","CA",43962
"235","Solano County","CA",453274
"236","Sonoma County","CA",488345
"237","Stanislaus County","CA",552710
"238","Sutter County","CA",99480
"239","Tehama County","CA",65615
"240","Trinity County","CA",16088
"241","Tulare County","CA",473736
"242","Tuolumne County","CA",55516
"243","Ventura County","CA",842921
"244","Yolo County","CA",216255
"245","Yuba County","CA",81932
"246","Adams County","CO",520163
"247","Alamosa County","CO",16362
"248","Arapahoe County","CO",655112
"249","Archuleta County","CO",13424
"250","Baca County","CO",3486
"251","Bent County","CO",5635
"252","Boulder County","CO",330811
"253","Broomfield County","CO",74513
"254","Chaffee County","CO",19571
"255","Cheyenne County","CO",1736
"256","Clear Creek County","CO",9404
"257","Conejos County","CO",7464
"258","Costilla County","CO",3506
"259","Crowley County","CO",5893
"260","Custer County","CO",4712
"261","Delta County","CO",31232
"262","Denver County","CO",717630
"263","Dolores County","CO",2338
"264","Douglas County","CO",360102
"265","Eagle County","CO",55665
"266","Elbert County","CO",26206
"267","El Paso County","CO",731847
"268","Fremont County","CO",48981
"269","Garfield County","CO",61776
"270","Gilpin County","CO",5810
"271","Grand County","CO",15733
"272","Gunnison County","CO",16945
"273","Hinsdale County","CO",794
"274","Huerfano County","CO",6810
"275","Jackson County","CO",1376
"276","Jefferson County","CO",582928
"277","Kiowa County","CO",1452
"278","Kit Carson County","CO",7064
"279","Lake County","CO",7409
"280","La Plata County","CO",55642
"281","Larimer County","CO",359686
"282","Las Animas County","CO",14564
"283","Lincoln County","CO",5669
"284","Logan County","CO",21495
"285","Mesa County","CO",155939
"286","Mineral County","CO",867
"287","Moffat County","CO",13267
"288","Montezuma County","CO",25858
"289","Montrose County","CO",42798
"290","Morgan County","CO",29065
"291","Otero County","CO",18667
"292","Ouray County","CO",4869
"293","Park County","CO",17421
"294","Phillips County","CO",4534
"295","Pitkin County","CO",17342
"296","Prowers County","CO",11986
"297","Pueblo County","CO",168467
"298","Rio Blanco County","CO",6518
"299","Rio Grande County","CO",11538
"300","Routt County","CO",24839
"301","Saguache County","CO",6383
"302","San Juan County","CO",710
"303","San Miguel County","CO",8055
"304","Sedgwick County","CO",2390
"305","Summit County","CO",30971
"306","Teller County","CO",24726
"307","Washington County","CO",4815
"308","Weld County","CO",331358
"309","Yuma County","CO",9979
"310","Fairfield County","CT",955895
"311","Hartford County","CT",897932
"312","Litchfield County","CT",184874
"313","Middlesex County","CT",163923
"314","New Haven County","CT",863498
"315","New London County","CT",268248
"316","Tolland County","CT",149650
"317","Windham County","CT",116240
"318","Kent County","DE",182256
"319","New Castle County","DE",570718
"320","Sussex County","DE",238912
"321","District of Columbia",NA,690093
"322","District of Columbia",NA,690093
"323","Alachua County","FL",278684
"324","Baker County","FL",28309
"325","Bay County","FL",174461
"326","Bradford County","FL",28364
"327","Brevard County","FL",608007
"328","Broward County","FL",1941516
"329","Calhoun County","FL",13615
"330","Charlotte County","FL",187960
"331","Citrus County","FL",154403
"332","Clay County","FL",218797
"333","Collier County","FL",377079
"334","Columbia County","FL",69889
"335","DeSoto County","FL",34080
"336","Dixie County","FL",16805
"337","Duval County","FL",996373
"338","Escambia County","FL",322424
"339","Flagler County","FL",115968
"340","Franklin County","FL",12456
"341","Gadsden County","FL",43701
"342","Gilchrist County","FL",17928
"343","Glades County","FL",12179
"344","Gulf County","FL",14181
"345","Hamilton County","FL",13988
"346","Hardee County","FL",25313
"347","Hendry County","FL",39707
"348","Hernando County","FL",195508
"349","Highlands County","FL",101222
"350","Hillsborough County","FL",1463380
"351","Holmes County","FL",19622
"352","Indian River County","FL",160345
"353","Jackson County","FL",47214
"354","Jefferson County","FL",14560
"355","Lafayette County","FL",8252
"356","Lake County","FL",385875
"357","Lee County","FL",764679
"358","Leon County","FL",292378
"359","Levy County","FL",43051
"360","Liberty County","FL",7974
"361","Madison County","FL",17976
"362","Manatee County","FL",401443
"363","Marion County","FL",377370
"364","Martin County","FL",158529
"365","Miami-Dade County","FL",2692459
"366","Monroe County","FL",82809
"367","Nassau County","FL",90993
"368","Okaloosa County","FL",211809
"369","Okeechobee County","FL",39641
"370","Orange County","FL",1429899
"371","Osceola County","FL",390855
"372","Palm Beach County","FL",1492466
"373","Pasco County","FL",565745
"374","Pinellas County","FL",958752
"375","Polk County","FL",729233
"376","Putnam County","FL",73347
"377","St. Johns County","FL",276916
"378","St. Lucie County","FL",331275
"379","Santa Rosa County","FL",189133
"380","Sarasota County","FL",435664
"381","Seminole County","FL",471058
"382","Sumter County","FL",130897
"383","Suwannee County","FL",43510
"384","Taylor County","FL",21760
"385","Union County","FL",16126
"386","Volusia County","FL",554901
"387","Wakulla County","FL",33907
"388","Walton County","FL",75855
"389","Washington County","FL",25357
"390","Appling County","GA",18428
"391","Atkinson County","GA",8301
"392","Bacon County","GA",11123
"393","Baker County","GA",2844
"394","Baldwin County","GA",43773
"395","Banks County","GA",18069
"396","Barrow County","GA",83963
"397","Bartow County","GA",109311
"398","Ben Hill County","GA",17153
"399","Berrien County","GA",18159
"400","Bibb County","GA",157104
"401","Bleckley County","GA",12577
"402","Brantley County","GA",18040
"403","Brooks County","GA",16232
"404","Bryan County","GA",44999
"405","Bulloch County","GA",81378
"406","Burke County","GA",24621
"407","Butts County","GA",25542
"408","Calhoun County","GA",5560
"409","Camden County","GA",54911
"410","Candler County","GA",11001
"411","Carroll County","GA",119463
"412","Catoosa County","GA",67976
"413","Charlton County","GA",12530
"414","Chatham County","GA",294904
"415","Chattahoochee County","GA",9482
"416","Chattooga County","GA",24921
"417","Cherokee County","GA",268043
"418","Clarke County","GA",128489
"419","Clay County","GA",2835
"420","Clayton County","GA",297417
"421","Clinch County","GA",6723
"422","Cobb County","GA",766209
"423","Coffee County","GA",43047
"424","Colquitt County","GA",45866
"425","Columbia County","GA",156773
"426","Cook County","GA",17232
"427","Coweta County","GA",146653
"428","Crawford County","GA",12100
"429","Crisp County","GA",20042
"430","Dade County","GA",16224
"431","Dawson County","GA",27047
"432","Decatur County","GA",29338
"433","DeKalb County","GA",763831
"434","Dodge County","GA",19849
"435","Dooly County","GA",11142
"436","Dougherty County","GA",85366
"437","Douglas County","GA",144497
"438","Early County","GA",10813
"439","Echols County","GA",3696
"440","Effingham County","GA",65150
"441","Elbert County","GA",19627
"442","Emanuel County","GA",22730
"443","Evans County","GA",10757
"444","Fannin County","GA",25396
"445","Fayette County","GA",119441
"446","Floyd County","GA",98593
"447","Forsyth County","GA",252786
"448","Franklin County","GA",23429
"449","Fulton County","GA",1069023
"450","Gilmer County","GA",31429
"451","Glascock County","GA",2883
"452","Glynn County","GA",84470
"453","Gordon County","GA",57696
"454","Grady County","GA",26221
"455","Greene County","GA",19025
"456","Gwinnett County","GA",957801
"457","Habersham County","GA",46105
"458","Hall County","GA",203589
"459","Hancock County","GA",8722
"460","Haralson County","GA",29985
"461","Harris County","GA",34927
"462","Hart County","GA",25866
"463","Heard County","GA",11465
"464","Henry County","GA",241818
"465","Houston County","GA",164242
"466","Irwin County","GA",9643
"467","Jackson County","GA",76712
"468","Jasper County","GA",14638
"469","Jeff Davis County","GA",14777
"470","Jefferson County","GA",15658
"471","Jenkins County","GA",8662
"472","Johnson County","GA",9168
"473","Jones County","GA",28356
"474","Lamar County","GA",18550
"475","Lanier County","GA",9916
"476","Laurens County","GA",49497
"477","Lee County","GA",33179
"478","Liberty County","GA",65220
"479","Lincoln County","GA",7704
"480","Long County","GA",16287
"481","Lowndes County","GA",118316
"482","Lumpkin County","GA",33596
"483","McDuffie County","GA",21587
"484","McIntosh County","GA",10982
"485","Macon County","GA",12021
"486","Madison County","GA",30263
"487","Marion County","GA",7520
"488","Meriwether County","GA",20619
"489","Miller County","GA",5987
"490","Mitchell County","GA",21677
"491","Monroe County","GA",28046
"492","Montgomery County","GA",8577
"493","Morgan County","GA",20174
"494","Murray County","GA",39938
"495","Muscogee County","GA",206960
"496","Newton County","GA",112780
"497","Oconee County","GA",42021
"498","Oglethorpe County","GA",14865
"499","Paulding County","GA",169660
"500","Peach County","GA",28035
"501","Pickens County","GA",33333
"502","Pierce County","GA",19722
"503","Pike County","GA",18935
"504","Polk County","GA",42925
"505","Pulaski County","GA",9863
"506","Putnam County","GA",22140
"507","Quitman County","GA",2224
"508","Rabun County","GA",16894
"509","Randolph County","GA",6377
"510","Richmond County","GA",206328
"511","Rockdale County","GA",93614
"512","Schley County","GA",4538
"513","Screven County","GA",14060
"514","Seminole County","GA",9138
"515","Spalding County","GA",67413
"516","Stephens County","GA",26800
"517","Stewart County","GA",5295
"518","Sumter County","GA",29553
"519","Talbot County","GA",5731
"520","Taliaferro County","GA",1557
"521","Tattnall County","GA",22852
"522","Taylor County","GA",7814
"523","Telfair County","GA",12461
"524","Terrell County","GA",9153
"525","Thomas County","GA",45766
"526","Tift County","GA",41348
"527","Toombs County","GA",27052
"528","Towns County","GA",12539
"529","Treutlen County","GA",6390
"530","Troup County","GA",69388
"531","Turner County","GA",8971
"532","Twiggs County","GA",7986
"533","Union County","GA",24766
"534","Upson County","GA",27712
"535","Walker County","GA",67711
"536","Walton County","GA",97135
"537","Ware County","GA",36218
"538","Warren County","GA",5205
"539","Washington County","GA",19927
"540","Wayne County","GA",30155
"541","Webster County","GA",2350
"542","Wheeler County","GA",7430
"543","White County","GA",28090
"544","Whitfield County","GA",102727
"545","Wilcox County","GA",8731
"546","Wilkes County","GA",9556
"547","Wilkinson County","GA",8844
"548","Worth County","GA",20719
"549","Hawaii County","HI",200746
"550","Honolulu County","HI",1013227
"551","Kalawao County","HI",82
"552","Kauai County","HI",73201
"553","Maui County","HI",164655
"554","Ada County","ID",497984
"555","Adams County","ID",4424
"556","Bannock County","ID",87177
"557","Bear Lake County","ID",6370
"558","Benewah County","ID",9576
"559","Bingham County","ID",48068
"560","Blaine County","ID",24327
"561","Boise County","ID",7647
"562","Bonner County","ID",47390
"563","Bonneville County","ID",124626
"564","Boundary County","ID",12113
"565","Butte County","ID",2577
"566","Camas County","ID",1089
"567","Canyon County","ID",232714
"568","Caribou County","ID",7015
"569","Cassia County","ID",24699
"570","Clark County","ID",792
"571","Clearwater County","ID",8750
"572","Custer County","ID",4266
"573","Elmore County","ID",28668
"574","Franklin County","ID",14269
"575","Fremont County","ID",13404
"576","Gem County","ID",19258
"577","Gooding County","ID",15643
"578","Idaho County","ID",16561
"579","Jefferson County","ID",31055
"580","Jerome County","ID",24222
"581","Kootenai County","ID",172646
"582","Latah County","ID",39611
"583","Lemhi County","ID",7948
"584","Lewis County","ID",3531
"585","Lincoln County","ID",5133
"586","Madison County","ID",52876
"587","Minidoka County","ID",21674
"588","Nez Perce County","ID",42088
"589","Oneida County","ID",4554
"590","Owyhee County","ID",11978
"591","Payette County","ID",25589
"592","Power County","ID",7879
"593","Shoshone County","ID",13189
"594","Teton County","ID",11731
"595","Twin Falls County","ID",90279
"596","Valley County","ID",11838
"597","Washington County","ID",10544
"598","Adams County","IL",65530
"599","Alexander County","IL",5168
"600","Bond County","IL",16663
"601","Boone County","IL",53326
"602","Brown County","IL",6217
"603","Bureau County","IL",33118
"604","Calhoun County","IL",4411
"605","Carroll County","IL",15664
"606","Cass County","IL",12956
"607","Champaign County","IL",205469
"608","Christian County","IL",33900
"609","Clark County","IL",15407
"610","Clay County","IL",13267
"611","Clinton County","IL",36896
"612","Coles County","IL",46737
"613","Cook County","IL",5262741
"614","Crawford County","IL",18639
"615","Cumberland County","IL",10428
"616","DeKalb County","IL",100233
"617","De Witt County","IL",15441
"618","Douglas County","IL",19742
"619","DuPage County","IL",931153
"620","Edgar County","IL",16755
"621","Edwards County","IL",6205
"622","Effingham County","IL",34614
"623","Fayette County","IL",21460
"624","Ford County","IL",13533
"625","Franklin County","IL",37636
"626","Fulton County","IL",33440
"627","Gallatin County","IL",4947
"628","Greene County","IL",11915
"629","Grundy County","IL",52514
"630","Hamilton County","IL",7977
"631","Hancock County","IL",17552
"632","Hardin County","IL",3634
"633","Henderson County","IL",6339
"634","Henry County","IL",49138
"635","Iroquois County","IL",26984
"636","Jackson County","IL",52896
"637","Jasper County","IL",9247
"638","Jefferson County","IL",37029
"639","Jersey County","IL",21444
"640","Jo Daviess County","IL",22035
"641","Johnson County","IL",13307
"642","Kane County","IL",516155
"643","Kankakee County","IL",107236
"644","Kendall County","IL",132291
"645","Knox County","IL",49736
"646","Lake County","IL",713217
"647","LaSalle County","IL",109359
"648","Lawrence County","IL",15234
"649","Lee County","IL",34021
"650","Livingston County","IL",35752
"651","Logan County","IL",27879
"652","McDonough County","IL",27079
"653","McHenry County","IL",309770
"654","McLean County","IL",170870
"655","Macon County","IL",103647
"656","Macoupin County","IL",44810
"657","Madison County","IL",265498
"658","Marion County","IL",37613
"659","Marshall County","IL",11691
"660","Mason County","IL",13026
"661","Massac County","IL",14125
"662","Menard County","IL",12265
"663","Mercer County","IL",15633
"664","Monroe County","IL",34898
"665","Montgomery County","IL",28157
"666","Morgan County","IL",32798
"667","Moultrie County","IL",14486
"668","Ogle County","IL",51678
"669","Peoria County","IL",181225
"670","Perry County","IL",20880
"671","Piatt County","IL",16654
"672","Pike County","IL",14633
"673","Pope County","IL",3744
"674","Pulaski County","IL",5161
"675","Putnam County","IL",5635
"676","Randolph County","IL",30055
"677","Richland County","IL",15803
"678","Rock Island County","IL",144267
"679","St. Clair County","IL",256789
"680","Saline County","IL",23634
"681","Sangamon County","IL",196012
"682","Schuyler County","IL",6875
"683","Scott County","IL",4927
"684","Shelby County","IL",20900
"685","Stark County","IL",5391
"686","Stephenson County","IL",44457
"687","Tazewell County","IL",131018
"688","Union County","IL",17179
"689","Vermilion County","IL",73883
"690","Wabash County","IL",11316
"691","Warren County","IL",16777
"692","Washington County","IL",13711
"693","Wayne County","IL",16121
"694","White County","IL",13808
"695","Whiteside County","IL",55509
"696","Will County","IL",695903
"697","Williamson County","IL",67094
"698","Winnebago County","IL",284858
"699","Woodford County","IL",38395
"700","Adams County","IN",35826
"701","Allen County","IN",385892
"702","Bartholomew County","IN",82157
"703","Benton County","IN",8712
"704","Blackford County","IN",12098
"705","Boone County","IN",71169
"706","Brown County","IN",15470
"707","Carroll County","IN",20307
"708","Cass County","IN",37771
"709","Clark County","IN",121282
"710","Clay County","IN",26432
"711","Clinton County","IN",33151
"712","Crawford County","IN",10540
"713","Daviess County","IN",33391
"714","Dearborn County","IN",50726
"715","Decatur County","IN",26477
"716","DeKalb County","IN",43274
"717","Delaware County","IN",111669
"718","Dubois County","IN",43604
"719","Elkhart County","IN",206842
"720","Fayette County","IN",23333
"721","Floyd County","IN",80437
"722","Fountain County","IN",16470
"723","Franklin County","IN",22767
"724","Fulton County","IN",20434
"725","Gibson County","IN",33021
"726","Grant County","IN",66446
"727","Greene County","IN",30790
"728","Hamilton County","IN",348868
"729","Hancock County","IN",80156
"730","Harrison County","IN",39652
"731","Hendricks County","IN",175528
"732","Henry County","IN",48885
"733","Howard County","IN",83619
"734","Huntington County","IN",36599
"735","Jackson County","IN",46373
"736","Jasper County","IN",32906
"737","Jay County","IN",20456
"738","Jefferson County","IN",33075
"739","Jennings County","IN",27564
"740","Johnson County","IN",162180
"741","Knox County","IN",36244
"742","Kosciusko County","IN",80050
"743","LaGrange County","IN",40515
"744","Lake County","IN",498597
"745","LaPorte County","IN",112222
"746","Lawrence County","IN",45022
"747","Madison County","IN",130065
"748","Marion County","IN",976770
"749","Marshall County","IN",46018
"750","Martin County","IN",9786
"751","Miami County","IN",35924
"752","Monroe County","IN",139517
"753","Montgomery County","IN",37932
"754","Morgan County","IN",71802
"755","Newton County","IN",13796
"756","Noble County","IN",47379
"757","Ohio County","IN",5930
"758","Orange County","IN",19839
"759","Owen County","IN",21298
"760","Parke County","IN",16154
"761","Perry County","IN",19150
"762","Pike County","IN",12233
"763","Porter County","IN",173256
"764","Posey County","IN",25161
"765","Pulaski County","IN",12488
"766","Putnam County","IN",36666
"767","Randolph County","IN",24375
"768","Ripley County","IN",28980
"769","Rush County","IN",16744
"770","St. Joseph County","IN",272549
"771","Scott County","IN",24336
"772","Shelby County","IN",45026
"773","Spencer County","IN",19820
"774","Starke County","IN",23356
"775","Steuben County","IN",34440
"776","Sullivan County","IN",20803
"777","Switzerland County","IN",9724
"778","Tippecanoe County","IN",186247
"779","Tipton County","IN",15365
"780","Union County","IN",7090
"781","Vanderburgh County","IN",180158
"782","Vermillion County","IN",15388
"783","Vigo County","IN",106007
"784","Wabash County","IN",30888
"785","Warren County","IN",8413
"786","Warrick County","IN",63966
"787","Washington County","IN",28220
"788","Wayne County","IN",66455
"789","Wells County","IN",28179
"790","White County","IN",24636
"791","Whitley County","IN",34316
"792","Adair County","IA",7477
"793","Adams County","IA",3697
"794","Allamakee County","IA",14067
"795","Appanoose County","IA",12282
"796","Audubon County","IA",5671
"797","Benton County","IA",25536
"798","Black Hawk County","IA",130980
"799","Boone County","IA",26691
"800","Bremer County","IA",24974
"801","Buchanan County","IA",20586
"802","Buena Vista County","IA",20776
"803","Butler County","IA",14311
"804","Calhoun County","IA",9886
"805","Carroll County","IA",20702
"806","Cass County","IA",13104
"807","Cedar County","IA",18495
"808","Cerro Gordo County","IA",42965
"809","Cherokee County","IA",11632
"810","Chickasaw County","IA",11970
"811","Clarke County","IA",9726
"812","Clay County","IA",16333
"813","Clayton County","IA",16996
"814","Clinton County","IA",46418
"815","Crawford County","IA",16453
"816","Dallas County","IA",100486
"817","Davis County","IA",9109
"818","Decatur County","IA",7610
"819","Delaware County","IA",17458
"820","Des Moines County","IA",38831
"821","Dickinson County","IA",17747
"822","Dubuque County","IA",99229
"823","Emmet County","IA",9332
"824","Fayette County","IA",19399
"825","Floyd County","IA",15552
"826","Franklin County","IA",9983
"827","Fremont County","IA",6560
"828","Greene County","IA",8746
"829","Grundy County","IA",12312
"830","Guthrie County","IA",10612
"831","Hamilton County","IA",15020
"832","Hancock County","IA",10757
"833","Hardin County","IA",16821
"834","Harrison County","IA",14546
"835","Henry County","IA",20412
"836","Howard County","IA",9487
"837","Humboldt County","IA",9595
"838","Ida County","IA",7007
"839","Iowa County","IA",16679
"840","Jackson County","IA",19437
"841","Jasper County","IA",37802
"842","Jefferson County","IA",15659
"843","Johnson County","IA",152984
"844","Jones County","IA",20647
"845","Keokuk County","IA",9995
"846","Kossuth County","IA",14786
"847","Lee County","IA",33512
"848","Linn County","IA",230263
"849","Louisa County","IA",10806
"850","Lucas County","IA",8615
"851","Lyon County","IA",11917
"852","Madison County","IA",16626
"853","Mahaska County","IA",22148
"854","Marion County","IA",33377
"855","Marshall County","IA",40059
"856","Mills County","IA",14405
"857","Mitchell County","IA",10582
"858","Monona County","IA",8742
"859","Monroe County","IA",7582
"860","Montgomery County","IA",10335
"861","Muscatine County","IA",43113
"862","O'Brien County","IA",14154
"863","Osceola County","IA",6189
"864","Page County","IA",15180
"865","Palo Alto County","IA",8961
"866","Plymouth County","IA",25681
"867","Pocahontas County","IA",7075
"868","Polk County","IA",492769
"869","Pottawattamie County","IA",93560
"870","Poweshiek County","IA",18643
"871","Ringgold County","IA",4639
"872","Sac County","IA",9791
"873","Scott County","IA",174488
"874","Shelby County","IA",11699
"875","Sioux County","IA",35869
"876","Story County","IA",98615
"877","Tama County","IA",17072
"878","Taylor County","IA",5861
"879","Union County","IA",12097
"880","Van Buren County","IA",7204
"881","Wapello County","IA",35341
"882","Warren County","IA",52548
"883","Washington County","IA",22511
"884","Wayne County","IA",6509
"885","Webster County","IA",36954
"886","Winnebago County","IA",10650
"887","Winneshiek County","IA",20031
"888","Woodbury County","IA",105829
"889","Worth County","IA",7425
"890","Wright County","IA",12914
"891","Allen County","KS",12537
"892","Anderson County","KS",7850
"893","Atchison County","KS",16305
"894","Barber County","KS",4198
"895","Barton County","KS",25419
"896","Bourbon County","KS",14333
"897","Brown County","KS",9473
"898","Butler County","KS",67401
"899","Chase County","KS",2564
"900","Chautauqua County","KS",3386
"901","Cherokee County","KS",19275
"902","Cheyenne County","KS",2620
"903","Clark County","KS",1973
"904","Clay County","KS",8112
"905","Cloud County","KS",8988
"906","Coffey County","KS",8370
"907","Comanche County","KS",1681
"908","Cowley County","KS",34498
"909","Crawford County","KS",38930
"910","Decatur County","KS",2749
"911","Dickinson County","KS",18353
"912","Doniphan County","KS",7469
"913","Douglas County","KS",118814
"914","Edwards County","KS",2898
"915","Elk County","KS",2475
"916","Ellis County","KS",28931
"917","Ellsworth County","KS",6354
"918","Finney County","KS",38297
"919","Ford County","KS",34206
