"","county","state","unemployment"
"2115","Sandusky County","OH",5.2
"2116","Scioto County","OH",6.2
"2117","Seneca County","OH",4.7
"2118","Shelby County","OH",4.2
"2119","Stark County","OH",5.2
"2120","Summit County","OH",5.4
"2121","Trumbull County","OH",6.4
"2122","Tuscarawas County","OH",4.6
"2123","Union County","OH",3.5
"2124","Van Wert County","OH",3.9
"2125","Vinton County","OH",6.2
"2126","Warren County","OH",4
"2127","Washington County","OH",5.5
"2128","Wayne County","OH",3.6
"2129","Williams County","OH",4.3
"2130","Wood County","OH",4.3
"2131","Wyandot County","OH",3.5
"2132","Adair County","OK",3.7
"2133","Alfalfa County","OK",2.3
"2134","Atoka County","OK",4.7
"2135","Beaver County","OK",1.7
"2136","Beckham County","OK",4.3
"2137","Blaine County","OK",3
"2138","Bryan County","OK",3.3
"2139","Caddo County","OK",3.7
"2140","Canadian County","OK",3.2
"2141","Carter County","OK",4.4
"2142","Cherokee County","OK",4.1
"2143","Choctaw County","OK",5.2
"2144","Cimarron County","OK",1.8
"2145","Cleveland County","OK",3.2
"2146","Coal County","OK",4.5
"2147","Comanche County","OK",4.1
"2148","Cotton County","OK",4.1
"2149","Craig County","OK",3.6
"2150","Creek County","OK",4.2
"2151","Custer County","OK",3.2
"2152","Delaware County","OK",3.3
"2153","Dewey County","OK",2.7
"2154","Ellis County","OK",2.8
"2155","Garfield County","OK",3.4
"2156","Garvin County","OK",3.8
"2157","Grady County","OK",3.5
"2158","Grant County","OK",2.5
"2159","Greer County","OK",5.1
"2160","Harmon County","OK",2.5
"2161","Harper County","OK",2.5
"2162","Haskell County","OK",5.2
"2163","Hughes County","OK",5.2
"2164","Jackson County","OK",2.8
"2165","Jefferson County","OK",4
"2166","Johnston County","OK",4.6
"2167","Kay County","OK",4.3
"2168","Kingfisher County","OK",2.6
"2169","Kiowa County","OK",3.3
"2170","Latimer County","OK",7.3
"2171","Le Flore County","OK",4.7
"2172","Lincoln County","OK",3.5
"2173","Logan County","OK",3.3
"2174","Love County","OK",2.6
"2175","McClain County","OK",3.1
"2176","McCurtain County","OK",4.4
"2177","McIntosh County","OK",6.1
"2178","Major County","OK",3.1
"2179","Marshall County","OK",3.7
"2180","Mayes County","OK",3.7
"2181","Murray County","OK",3.9
"2182","Muskogee County","OK",4.3
"2183","Noble County","OK",2.5
"2184","Nowata County","OK",3.5
"2185","Okfuskee County","OK",4.9
"2186","Oklahoma County","OK",4.1
"2187","Okmulgee County","OK",5.2
"2188","Osage County","OK",4.2
"2189","Ottawa County","OK",3.2
"2190","Pawnee County","OK",4.1
"2191","Payne County","OK",3.2
"2192","Pittsburg County","OK",5.2
"2193","Pontotoc County","OK",3.3
"2194","Pottawatomie County","OK",3.9
"2195","Pushmataha County","OK",4.2
"2196","Roger Mills County","OK",2.9
"2197","Rogers County","OK",3.5
"2198","Seminole County","OK",5.1
"2199","Sequoyah County","OK",4.3
"2200","Stephens County","OK",4.5
"2201","Texas County","OK",1.8
"2202","Tillman County","OK",4.2
"2203","Tulsa County","OK",4
"2204","Wagoner County","OK",3.5
"2205","Washington County","OK",3.8
"2206","Washita County","OK",4.3
"2207","Woods County","OK",2.1
"2208","Woodward County","OK",4.2
"2209","Baker County","OR",5.1
"2210","Benton County","OR",3.9
"2211","Clackamas County","OR",4.8
"2212","Clatsop County","OR",6
"2213","Columbia County","OR",5.8
"2214","Coos County","OR",6.3
"2215","Crook County","OR",6.7
"2216","Curry County","OR",6.7
"2217","Deschutes County","OR",5.3
"2218","Douglas County","OR",5.8
"2219","Gilliam County","OR",4.8
"2220","Grant County","OR",6.7
"2221","Harney County","OR",5.1
"2222","Hood River County","OR",4.5
"2223","Jackson County","OR",5.4
"2224","Jefferson County","OR",6.5
"2225","Josephine County","OR",6.2
"2226","Klamath County","OR",6.7
"2227","Lake County","OR",5.5
"2228","Lane County","OR",5.5
"2229","Lincoln County","OR",6.8
"2230","Linn County","OR",5.6
"2231","Malheur County","OR",4.4
"2232","Marion County","OR",5.1
"2233","Morrow County","OR",4.6
"2234","Multnomah County","OR",5.6
"2235","Polk County","OR",4.8
"2236","Sherman County","OR",4.3
"2237","Tillamook County","OR",5.5
"2238","Umatilla County","OR",5.2
"2239","Union County","OR",5.6
"2240","Wallowa County","OR",5.4
"2241","Wasco County","OR",5.2
"2242","Washington County","OR",4.4
"2243","Wheeler County","OR",3.3
"2244","Yamhill County","OR",4.7
"2245","Adams County","PA",4.4
"2246","Allegheny County","PA",6.1
"2247","Armstrong County","PA",7.6
"2248","Beaver County","PA",7.2
"2249","Bedford County","PA",5.9
"2250","Berks County","PA",6.6
"2251","Blair County","PA",6
"2252","Bradford County","PA",5.6
"2253","Bucks County","PA",5.3
"2254","Butler County","PA",5.6
"2255","Cambria County","PA",7
"2256","Cameron County","PA",7.7
"2257","Carbon County","PA",6.7
"2258","Centre County","PA",4.6
"2259","Chester County","PA",4.2
"2260","Clarion County","PA",6.5
"2261","Clearfield County","PA",7
"2262","Clinton County","PA",6.7
"2263","Columbia County","PA",5.9
"2264","Crawford County","PA",6.7
"2265","Cumberland County","PA",4.6
"2266","Dauphin County","PA",6.3
"2267","Delaware County","PA",6.3
"2268","Elk County","PA",6.9
"2269","Erie County","PA",7.3
"2270","Fayette County","PA",8.7
"2271","Forest County","PA",8.3
"2272","Franklin County","PA",5.1
"2273","Fulton County","PA",6.3
"2274","Greene County","PA",7.3
"2275","Huntingdon County","PA",7.3
"2276","Indiana County","PA",7.1
"2277","Jefferson County","PA",6.5
"2278","Juniata County","PA",5
"2279","Lackawanna County","PA",6.9
"2280","Lancaster County","PA",4.9
"2281","Lawrence County","PA",7.6
"2282","Lebanon County","PA",5.5
"2283","Lehigh County","PA",6.8
"2284","Luzerne County","PA",8.3
"2285","Lycoming County","PA",6.7
"2286","McKean County","PA",6.9
"2287","Mercer County","PA",7.1
"2288","Mifflin County","PA",6.1
"2289","Monroe County","PA",7.7
"2290","Montgomery County","PA",5
"2291","Montour County","PA",4.4
"2292","Northampton County","PA",5.9
"2293","Northumberland County","PA",6.8
"2294","Perry County","PA",4.7
"2295","Philadelphia County/city","PA",9.2
"2296","Pike County","PA",7.3
"2297","Potter County","PA",6.8
"2298","Schuylkill County","PA",6.8
"2299","Snyder County","PA",5.2
"2300","Somerset County","PA",6.7
"2301","Sullivan County","PA",7.4
"2302","Susquehanna County","PA",5.5
"2303","Tioga County","PA",6.6
"2304","Union County","PA",4.7
"2305","Venango County","PA",6.8
"2306","Warren County","PA",6.7
"2307","Washington County","PA",6.6
"2308","Wayne County","PA",6.6
"2309","Westmoreland County","PA",6.3
"2310","Wyoming County","PA",6.3
"2311","York County","PA",5.4
"2312","Bristol County","RI",4.7
"2313","Kent County","RI",5.2
"2314","Newport County","RI",4.9
"2315","Providence County","RI",6
"2316","Washington County","RI",4.9
"2317","Abbeville County","SC",4.5
"2318","Aiken County","SC",3.4
"2319","Allendale County","SC",7.8
"2320","Anderson County","SC",3.7
"2321","Bamberg County","SC",7.5
"2322","Barnwell County","SC",6.5
"2323","Beaufort County","SC",3.5
"2324","Berkeley County","SC",3.6
"2325","Calhoun County","SC",4.5
"2326","Charleston County","SC",3.6
"2327","Cherokee County","SC",5.1
"2328","Chester County","SC",5.9
"2329","Chesterfield County","SC",4.5
"2330","Clarendon County","SC",4.9
"2331","Colleton County","SC",4.4
"2332","Darlington County","SC",4.5
"2333","Dillon County","SC",5.8
"2334","Dorchester County","SC",3.6
"2335","Edgefield County","SC",3.4
"2336","Fairfield County","SC",5.8
"2337","Florence County","SC",4.1
"2338","Georgetown County","SC",4.8
"2339","Greenville County","SC",3.4
"2340","Greenwood County","SC",4.5
"2341","Hampton County","SC",3.6
"2342","Horry County","SC",5.1
"2343","Jasper County","SC",3.4
"2344","Kershaw County","SC",3.7
"2345","Lancaster County","SC",4.4
"2346","Laurens County","SC",4.3
"2347","Lee County","SC",5.6
"2348","Lexington County","SC",3
"2349","McCormick County","SC",4.8
"2350","Marion County","SC",6.6
"2351","Marlboro County","SC",7.8
"2352","Newberry County","SC",3.3
"2353","Oconee County","SC",3.6
"2354","Orangeburg County","SC",7.1
"2355","Pickens County","SC",3.5
"2356","Richland County","SC",4.1
"2357","Saluda County","SC",3.1
"2358","Spartanburg County","SC",4
"2359","Sumter County","SC",4.6
"2360","Union County","SC",6.5
"2361","Williamsburg County","SC",6.1
"2362","York County","SC",3.7
"2363","Aurora County","SD",2.4
"2364","Beadle County","SD",2.8
"2365","Bennett County","SD",4.3
"2366","Bon Homme County","SD",2.8
"2367","Brookings County","SD",3.2
"2368","Brown County","SD",3
"2369","Brule County","SD",2.5
"2370","Buffalo County","SD",5.4
"2371","Butte County","SD",3.4
"2372","Campbell County","SD",3.4
"2373","Charles Mix County","SD",3.7
"2374","Clark County","SD",3.7
"2375","Clay County","SD",3
"2376","Codington County","SD",3.1
"2377","Corson County","SD",4.7
"2378","Custer County","SD",4
"2379","Davison County","SD",2.8
"2380","Day County","SD",4.3
"2381","Deuel County","SD",4.2
"2382","Dewey County","SD",5.9
"2383","Douglas County","SD",2.5
"2384","Edmunds County","SD",2.7
"2385","Fall River County","SD",4
"2386","Faulk County","SD",2.7
"2387","Grant County","SD",3.4
"2388","Gregory County","SD",2.8
"2389","Haakon County","SD",2.8
"2390","Hamlin County","SD",2.4
"2391","Hand County","SD",2.5
"2392","Hanson County","SD",4
"2393","Harding County","SD",2.8
"2394","Hughes County","SD",2.4
"2395","Hutchinson County","SD",3.1
"2396","Hyde County","SD",2.6
"2397","Jackson County","SD",4.4
"2398","Jerauld County","SD",2.2
"2399","Jones County","SD",3.4
"2400","Kingsbury County","SD",2.9
"2401","Lake County","SD",3
"2402","Lawrence County","SD",3
"2403","Lincoln County","SD",2.4
"2404","Lyman County","SD",4.4
"2405","McCook County","SD",2.8
"2406","McPherson County","SD",4.2
"2407","Marshall County","SD",3.5
"2408","Meade County","SD",3
"2409","Mellette County","SD",4.5
"2410","Miner County","SD",3.1
"2411","Minnehaha County","SD",2.9
"2412","Moody County","SD",2.8
"2413","Oglala Lakota County","SD",8.7
"2414","Pennington County","SD",3.2
"2415","Perkins County","SD",3.1
"2416","Potter County","SD",3
"2417","Roberts County","SD",4.6
"2418","Sanborn County","SD",3
"2419","Spink County","SD",3.2
"2420","Stanley County","SD",3
"2421","Sully County","SD",3.8
"2422","Todd County","SD",4.8
"2423","Tripp County","SD",2.4
"2424","Turner County","SD",2.7
"2425","Union County","SD",3.6
"2426","Walworth County","SD",5.5
"2427","Yankton County","SD",2.7
"2428","Ziebach County","SD",4.5
"2429","Anderson County","TN",3.8
"2430","Bedford County","TN",4.1
"2431","Benton County","TN",4.8
"2432","Bledsoe County","TN",5.2
"2433","Blount County","TN",3.4
"2434","Bradley County","TN",4.1
"2435","Campbell County","TN",4.8
"2436","Cannon County","TN",3.4
"2437","Carroll County","TN",4.6
"2438","Carter County","TN",4.2
"2439","Cheatham County","TN",3.1
"2440","Chester County","TN",3.3
"2441","Claiborne County","TN",4.1
"2442","Clay County","TN",5.3
"2443","Cocke County","TN",5.5
"2444","Coffee County","TN",4.1
"2445","Crockett County","TN",3.6
"2446","Cumberland County","TN",4.8
"2447","Davidson County","TN",4.2
"2448","Decatur County","TN",5.7
"2449","DeKalb County","TN",4.5
"2450","Dickson County","TN",3.4
"2451","Dyer County","TN",4.6
"2452","Fayette County","TN",4.1
"2453","Fentress County","TN",4
"2454","Franklin County","TN",3.8
"2455","Gibson County","TN",4.3
"2456","Giles County","TN",4.3
"2457","Grainger County","TN",4.2
"2458","Greene County","TN",4.4
"2459","Grundy County","TN",5.4
"2460","Hamblen County","TN",4
"2461","Hamilton County","TN",4
"2462","Hancock County","TN",4.8
"2463","Hardeman County","TN",6
"2464","Hardin County","TN",4.5
"2465","Hawkins County","TN",4.4
"2466","Haywood County","TN",5.9
"2467","Henderson County","TN",4.4
"2468","Henry County","TN",4
"2469","Hickman County","TN",3.5
"2470","Houston County","TN",4.8
"2471","Humphreys County","TN",3.9
"2472","Jackson County","TN",4.3
"2473","Jefferson County","TN",4.1
"2474","Johnson County","TN",3.5
"2475","Knox County","TN",3.3
"2476","Lake County","TN",6
"2477","Lauderdale County","TN",6
"2478","Lawrence County","TN",4.3
"2479","Lewis County","TN",4.7
"2480","Lincoln County","TN",4.1
"2481","Loudon County","TN",3.4
"2482","McMinn County","TN",4.5
"2483","McNairy County","TN",5.3
"2484","Macon County","TN",3.7
"2485","Madison County","TN",4.5
"2486","Marion County","TN",4.3
"2487","Marshall County","TN",4.5
"2488","Maury County","TN",4.7
"2489","Meigs County","TN",4.9
"2490","Monroe County","TN",3.8
"2491","Montgomery County","TN",4.5
"2492","Moore County","TN",2.6
"2493","Morgan County","TN",4.3
"2494","Obion County","TN",4.7
"2495","Overton County","TN",3.6
"2496","Perry County","TN",7.2
"2497","Pickett County","TN",3.8
"2498","Polk County","TN",4.1
"2499","Putnam County","TN",3.7
"2500","Rhea County","TN",4.8
"2501","Roane County","TN",4
"2502","Robertson County","TN",3.3
"2503","Rutherford County","TN",3.4
"2504","Scott County","TN",5.1
"2505","Sequatchie County","TN",4.4
"2506","Sevier County","TN",3.9
"2507","Shelby County","TN",6.8
"2508","Smith County","TN",3.3
"2509","Stewart County","TN",4.1
"2510","Sullivan County","TN",4.2
"2511","Sumner County","TN",3.3
"2512","Tipton County","TN",4.3
"2513","Trousdale County","TN",3.7
"2514","Unicoi County","TN",4.9
"2515","Union County","TN",4
"2516","Van Buren County","TN",5
"2517","Warren County","TN",4.7
"2518","Washington County","TN",3.6
"2519","Wayne County","TN",4.1
"2520","Weakley County","TN",3.8
"2521","White County","TN",3.9
"2522","Williamson County","TN",2.5
"2523","Wilson County","TN",3.2
"2524","Anderson County","TX",4.8
"2525","Andrews County","TX",5.9
"2526","Angelina County","TX",6.5
"2527","Aransas County","TX",7.3
"2528","Archer County","TX",4.2
"2529","Armstrong County","TX",3.6
"2530","Atascosa County","TX",6.2
"2531","Austin County","TX",5.5
"2532","Bailey County","TX",4.9
"2533","Bandera County","TX",4.7
"2534","Bastrop County","TX",4.5
"2535","Baylor County","TX",3.4
"2536","Bee County","TX",8.7
"2537","Bell County","TX",5.7
"2538","Bexar County","TX",5.4
"2539","Blanco County","TX",3.3
"2540","Borden County","TX",2.4
"2541","Bosque County","TX",4.6
"2542","Bowie County","TX",5.8
"2543","Brazoria County","TX",6.9
"2544","Brazos County","TX",4.1
"2545","Brewster County","TX",4.5
"2546","Briscoe County","TX",4.7
"2547","Brooks County","TX",9.2
"2548","Brown County","TX",5.2
"2549","Burleson County","TX",5
"2550","Burnet County","TX",3.7
"2551","Caldwell County","TX",4.9
"2552","Calhoun County","TX",4.9
"2553","Callahan County","TX",4.6
"2554","Cameron County","TX",8.2
"2555","Camp County","TX",5.9
"2556","Carson County","TX",3.9
"2557","Cass County","TX",6.7
"2558","Castro County","TX",3.5
"2559","Chambers County","TX",8.3
"2560","Cherokee County","TX",6.4
"2561","Childress County","TX",3.6
"2562","Clay County","TX",4.9
"2563","Cochran County","TX",6.3
"2564","Coke County","TX",4.8
"2565","Coleman County","TX",6
"2566","Collin County","TX",4.3
"2567","Collingsworth County","TX",4.3
"2568","Colorado County","TX",4.8
"2569","Comal County","TX",4.5
"2570","Comanche County","TX",4.6
"2571","Concho County","TX",4.2
"2572","Cooke County","TX",5
"2573","Coryell County","TX",5.7
"2574","Cottle County","TX",4.6
"2575","Crane County","TX",9.6
"2576","Crockett County","TX",6.7
"2577","Crosby County","TX",5.6
"2578","Culberson County","TX",4.8
"2579","Dallam County","TX",2.6
"2580","Dallas County","TX",5.6
"2581","Dawson County","TX",7
"2582","Deaf Smith County","TX",3.7
"2583","Delta County","TX",4.9
"2584","Denton County","TX",4.4
"2585","DeWitt County","TX",4.8
"2586","Dickens County","TX",5.1
"2587","Dimmit County","TX",5.7
"2588","Donley County","TX",4.1
"2589","Duval County","TX",8.3
"2590","Eastland County","TX",5.8
"2591","Ector County","TX",8.3
"2592","Edwards County","TX",4.3
"2593","Ellis County","TX",4.5
"2594","El Paso County","TX",6.2
"2595","Erath County","TX",4.5
"2596","Falls County","TX",5.3
"2597","Fannin County","TX",4
"2598","Fayette County","TX",4.3
"2599","Fisher County","TX",4.2
"2600","Floyd County","TX",5.8
"2601","Foard County","TX",3.4
"2602","Fort Bend County","TX",5.9
"2603","Franklin County","TX",4.4
"2604","Freestone County","TX",7.2
"2605","Frio County","TX",4.8
"2606","Gaines County","TX",4.6
"2607","Galveston County","TX",6.7
"2608","Garza County","TX",5
"2609","Gillespie County","TX",3.3
"2610","Glasscock County","TX",2.9
"2611","Goliad County","TX",6.6
"2612","Gonzales County","TX",4.3
"2613","Gray County","TX",6.7
"2614","Grayson County","TX",4.6
"2615","Gregg County","TX",6.5
"2616","Grimes County","TX",6.7
"2617","Guadalupe County","TX",4.4
"2618","Hale County","TX",6.1
"2619","Hall County","TX",5.4
"2620","Hamilton County","TX",4.1
"2621","Hansford County","TX",3
"2622","Hardeman County","TX",4.3
"2623","Hardin County","TX",8
"2624","Harris County","TX",6.5
"2625","Harrison County","TX",6.6
"2626","Hartley County","TX",2.1
"2627","Haskell County","TX",3.9
"2628","Hays County","TX",4.1
"2629","Hemphill County","TX",4.3
"2630","Henderson County","TX",5.1
"2631","Hidalgo County","TX",9.3
"2632","Hill County","TX",5
"2633","Hockley County","TX",6
"2634","Hood County","TX",5.2
"2635","Hopkins County","TX",4.3
"2636","Houston County","TX",4.8
"2637","Howard County","TX",6.5
"2638","Hudspeth County","TX",5.8
"2639","Hunt County","TX",5.1
"2640","Hutchinson County","TX",6
"2641","Irion County","TX",4.9
"2642","Jack County","TX",5.5
"2643","Jackson County","TX",5
"2644","Jasper County","TX",9.7
"2645","Jeff Davis County","TX",4.3
"2646","Jefferson County","TX",10
"2647","Jim Hogg County","TX",8.8
"2648","Jim Wells County","TX",10.2
"2649","Johnson County","TX",4.9
"2650","Jones County","TX",6.2
"2651","Karnes County","TX",5.2
"2652","Kaufman County","TX",4.9
"2653","Kendall County","TX",3.8
"2654","Kenedy County","TX",6
"2655","Kent County","TX",2.9
"2656","Kerr County","TX",4.5
"2657","Kimble County","TX",4.1
"2658","King County","TX",0.9
"2659","Kinney County","TX",5.5
"2660","Kleberg County","TX",7.1
"2661","Knox County","TX",4.7
"2662","Lamar County","TX",5.5
"2663","Lamb County","TX",5
"2664","Lampasas County","TX",4.8
"2665","La Salle County","TX",4.3
"2666","Lavaca County","TX",4.5
"2667","Lee County","TX",4.3
"2668","Leon County","TX",7.1
"2669","Liberty County","TX",9.2
"2670","Limestone County","TX",6.2
"2671","Lipscomb County","TX",3.7
"2672","Live Oak County","TX",6.8
"2673","Llano County","TX",4.8
"2674","Loving County","TX",0.9
"2675","Lubbock County","TX",4.5
"2676","Lynn County","TX",4.3
"2677","McCulloch County","TX",6.5
"2678","McLennan County","TX",4.9
"2679","McMullen County","TX",2.3
"2680","Madison County","TX",6.2
"2681","Marion County","TX",6.9
"2682","Martin County","TX",4.8
"2683","Mason County","TX",4.7
"2684","Matagorda County","TX",8.3
"2685","Maverick County","TX",12.7
"2686","Medina County","TX",5
"2687","Menard County","TX",4.8
"2688","Midland County","TX",5.7
"2689","Milam County","TX",5.8
"2690","Mills County","TX",4.4
"2691","Mitchell County","TX",7.1
"2692","Montague County","TX",5.1
"2693","Montgomery County","TX",5.8
"2694","Moore County","TX",3.3
"2695","Morris County","TX",10.5
"2696","Motley County","TX",5.1
"2697","Nacogdoches County","TX",5.5
"2698","Navarro County","TX",5.1
"2699","Newton County","TX",10.4
"2700","Nolan County","TX",4.8
"2701","Nueces County","TX",6.9
"2702","Ochiltree County","TX",4.6
"2703","Oldham County","TX",3.5
"2704","Orange County","TX",9
"2705","Palo Pinto County","TX",5.7
"2706","Panola County","TX",6.7
"2707","Parker County","TX",4.4
"2708","Parmer County","TX",2.9
"2709","Pecos County","TX",7.1
"2710","Polk County","TX",8
"2711","Potter County","TX",4.3
"2712","Presidio County","TX",10.5
"2713","Rains County","TX",3.9
"2714","Randall County","TX",3.5
"2715","Reagan County","TX",7.7
"2716","Real County","TX",5.9
"2717","Red River County","TX",5.9
"2718","Reeves County","TX",5.9
"2719","Refugio County","TX",6.7
"2720","Roberts County","TX",4.3
"2721","Robertson County","TX",5.3
"2722","Rockwall County","TX",4.3
"2723","Runnels County","TX",4.1
"2724","Rusk County","TX",6
"2725","Sabine County","TX",9.5
"2726","San Augustine County","TX",8.2
"2727","San Jacinto County","TX",7.4
"2728","San Patricio County","TX",8.8
"2729","San Saba County","TX",4.7
"2730","Schleicher County","TX",5.5
"2731","Scurry County","TX",6.7
"2732","Shackelford County","TX",4
"2733","Shelby County","TX",5.4
"2734","Sherman County","TX",3
"2735","Smith County","TX",5.1
"2736","Somervell County","TX",5.2
"2737","Starr County","TX",16.2
"2738","Stephens County","TX",4.9
"2739","Sterling County","TX",5.1
"2740","Stonewall County","TX",4.1
"2741","Sutton County","TX",8.3
"2742","Swisher County","TX",4.9
"2743","Tarrant County","TX",5.3
"2744","Taylor County","TX",4.3
"2745","Terrell County","TX",3.6
"2746","Terry County","TX",6.1
"2747","Throckmorton County","TX",2.8
"2748","Titus County","TX",5.4
"2749","Tom Green County","TX",4.9
"2750","Travis County","TX",4
"2751","Trinity County","TX",7.3
"2752","Tyler County","TX",8.5
"2753","Upshur County","TX",6.3
"2754","Upton County","TX",5.2
"2755","Uvalde County","TX",5.5
"2756","Val Verde County","TX",5.9
"2757","Van Zandt County","TX",4.7
"2758","Victoria County","TX",6.4
"2759","Walker County","TX",6.3
"2760","Waller County","TX",6.4
"2761","Ward County","TX",7.2
"2762","Washington County","TX",5.2
"2763","Webb County","TX",6.3
"2764","Wharton County","TX",5.7
"2765","Wheeler County","TX",6.2
"2766","Wichita County","TX",5.3
"2767","Wilbarger County","TX",6.6
"2768","Willacy County","TX",10.5
"2769","Williamson County","TX",4
"2770","Wilson County","TX",4.4
"2771","Winkler County","TX",7.7
"2772","Wise County","TX",4.9
"2773","Wood County","TX",5.6
"2774","Yoakum County","TX",7.8
"2775","Young County","TX",4.5
"2776","Zapata County","TX",12.1
"2777","Zavala County","TX",12.7
"2778","Beaver County","UT",2.8
"2779","Box Elder County","UT",2.4
"2780","Cache County","UT",2
"2781","Carbon County","UT",3.9
"2782","Daggett County","UT",3.6
"2783","Davis County","UT",2.4
"2784","Duchesne County","UT",4.9
"2785","Emery County","UT",3.9
"2786","Garfield County","UT",6.5
"2787","Grand County","UT",4.4
"2788","Iron County","UT",2.8
"2789","Juab County","UT",2
"2790","Kane County","UT",2.9
"2791","Millard County","UT",2.4
"2792","Morgan County","UT",2.1
"2793","Piute County","UT",4.4
"2794","Rich County","UT",2.3
"2795","Salt Lake County","UT",2.8
"2796","San Juan County","UT",6.3
"2797","Sanpete County","UT",2.8
"2798","Sevier County","UT",3.3
"2799","Summit County","UT",2.9
"2800","Tooele County","UT",2.9
"2801","Uintah County","UT",5.6
"2802","Utah County","UT",2.3
"2803","Wasatch County","UT",2.9
"2804","Washington County","UT",2.9
"2805","Wayne County","UT",4.7
"2806","Weber County","UT",2.9
"2807","Addison County","VT",2.8
"2808","Bennington County","VT",4.3
"2809","Caledonia County","VT",3.7
"2810","Chittenden County","VT",2.8
"2811","Essex County","VT",4.8
"2812","Franklin County","VT",3.5
"2813","Grand Isle County","VT",3.9
"2814","Lamoille County","VT",4
"2815","Orange County","VT",3.2
"2816","Orleans County","VT",4.6
"2817","Rutland County","VT",4.2
"2818","Washington County","VT",3
"2819","Windham County","VT",4.4
"2820","Windsor County","VT",3.3
"2821","Accomack County","VA",4.3
"2822","Albemarle County","VA",3.2
"2823","Alleghany County","VA",4.1
"2824","Amelia County","VA",3.6
"2825","Amherst County","VA",3.7
"2826","Appomattox County","VA",3.9
"2827","Arlington County","VA",3
"2828","Augusta County","VA",3.1
"2829","Bath County","VA",4.6
"2830","Bedford County","VA",3.4
"2831","Bland County","VA",3.4
"2832","Botetourt County","VA",3
"2833","Brunswick County","VA",6.3
"2834","Buchanan County","VA",6.7
"2835","Buckingham County","VA",5.3
"2836","Campbell County","VA",3.8
"2837","Caroline County","VA",4.3
"2838","Carroll County","VA",4.1
"2839","Charles City County","VA",4.4
"2840","Charlotte County","VA",3.7
"2841","Chesterfield County","VA",3.6
"2842","Clarke County","VA",3.1
"2843","Craig County","VA",3.3
"2844","Culpeper County","VA",3.2
"2845","Cumberland County","VA",4.3
"2846","Dickenson County","VA",5.3
"2847","Dinwiddie County","VA",4.5
"2848","Essex County","VA",4.8
"2849","Fairfax County","VA",3.5
"2850","Fauquier County","VA",3
"2851","Floyd County","VA",3.1
"2852","Fluvanna County","VA",3.3
"2853","Franklin County","VA",3.5
"2854","Frederick County","VA",2.9
"2855","Giles County","VA",3.5
"2856","Gloucester County","VA",3.4
"2857","Goochland County","VA",3.1
"2858","Grayson County","VA",3.3
"2859","Greene County","VA",3
"2860","Greensville County","VA",4.9
"2861","Halifax County","VA",4.8
"2862","Hanover County","VA",3
"2863","Henrico County","VA",4
"2864","Henry County","VA",4.7
"2865","Highland County","VA",2.9
"2866","Isle of Wight County","VA",3.5
"2867","James City County","VA",4
"2868","King and Queen County","VA",3.1
"2869","King George County","VA",2.9
"2870","King William County","VA",3.3
"2871","Lancaster County","VA",5.3
"2872","Lee County","VA",4
"2873","Loudoun County","VA",3.1
"2874","Louisa County","VA",3.4
"2875","Lunenburg County","VA",3.8
"2876","Madison County","VA",2.5
"2877","Mathews County","VA",3.2
"2878","Mecklenburg County","VA",4.7
"2879","Middlesex County","VA",3.4
"2880","Montgomery County","VA",3
"2881","Nelson County","VA",3.5
"2882","New Kent County","VA",3
"2883","Northampton County","VA",5.4
"2884","Northumberland County","VA",4.9
"2885","Nottoway County","VA",3.7
"2886","Orange County","VA",3.6
"2887","Page County","VA",4.6
"2888","Patrick County","VA",4.5
"2889","Pittsylvania County","VA",4
"2890","Powhatan County","VA",2.9
"2891","Prince Edward County","VA",4.8
"2892","Prince George County","VA",4.5
"2893","Prince William County","VA",4
"2894","Pulaski County","VA",4
"2895","Rappahannock County","VA",2.9
"2896","Richmond County","VA",3.5
"2897","Roanoke County","VA",3.1
"2898","Rockbridge County","VA",3.7
"2899","Rockingham County","VA",2.9
"2900","Russell County","VA",4.3
"2901","Scott County","VA",3.6
"2902","Shenandoah County","VA",3.6
"2903","Smyth County","VA",4
"2904","Southampton County","VA",3.5
"2905","Spotsylvania County","VA",3.8
"2906","Stafford County","VA",3.6
"2907","Surry County","VA",3.8
"2908","Sussex County","VA",6.5
"2909","Tazewell County","VA",5.2
"2910","Warren County","VA",3.5
"2911","Washington County","VA",3.6
"2912","Westmoreland County","VA",4.4
"2913","Wise County","VA",5.2
"2914","Wythe County","VA",4
"2915","York County","VA",3.3
"2916","Alexandria city","VA",3.8
"2917","Bristol city","VA",4.7
"2918","Buena Vista city","VA",3.9
"2919","Charlottesville city","VA",3.7
"2920","Chesapeake city","VA",3.8
"2921","Colonial Heights city","VA",4.8
"2922","Covington city","VA",5.8
"2923","Danville city","VA",6.5
"2924","Emporia city","VA",7.8
"2925","Fairfax city","VA",3.4
"2926","Falls Church city","VA",2.6
"2927","Franklin city","VA",6.9
"2928","Fredericksburg city","VA",4.7
"2929","Galax city","VA",4.1
"2930","Hampton city","VA",5.7
"2931","Harrisonburg city","VA",4
"2932","Hopewell city","VA",7.5
"2933","Lexington city","VA",4.9
"2934","Lynchburg city","VA",5.1
"2935","Manassas city","VA",3.9
"2936","Manassas Park city","VA",3.8
"2937","Martinsville city","VA",7.5
"2938","Newport News city","VA",5.6
"2939","Norfolk city","VA",5.7
"2940","Norton city","VA",4.9
"2941","Petersburg city","VA",10.5
"2942","Poquoson city","VA",2.8
