"","county","state","metro","vaccinated"
"1299","Stephens County","GA","Non-metro",41.1
"1300","Wayne County","GA","Non-metro",42.1
"1301","Palo Alto County","IA","Non-metro",50.9
"1302","Hancock County","IL","Non-metro",48.2
"1303","Shelby County","IL","Non-metro",42
"1304","Bartholomew County","IN","Metro",59.6
"1305","Fountain County","IN","Non-metro",46.8
"1306","Huntington County","IN","Non-metro",50.4
"1307","Leavenworth County","KS","Metro",58.7
"1308","Daviess County","KY","Metro",54.2
"1309","Pointe Coupee Parish","LA","Metro",55.4
"1310","Sabine Parish","LA","Non-metro",38.3
"1311","St. James Parish","LA","Metro",51.8
"1312","Kennebec County","ME","Non-metro",71.8
"1313","Branch County","MI","Non-metro",45.3
"1314","Stearns County","MN","Metro",59
"1315","Morgan County","MO","Non-metro",36.8
"1316","Vernon County","MO","Non-metro",35.1
"1317","Kemper County","MS","Non-metro",46.2
"1318","Flathead County","MT","Non-metro",42.5
"1319","Pondera County","MT","Non-metro",54.5
"1320","Billings County","ND","Non-metro",21
"1321","LaMoure County","ND","Non-metro",48.1
"1322","Logan County","ND","Non-metro",37
"1323","Lancaster County","NE","Metro",66.7
"1324","Chaves County","NM","Non-metro",45
"1325","Cherokee County","OK","Non-metro",48.1
"1326","Major County","OK","Non-metro",50
"1327","Murray County","OK","Non-metro",44.8
"1328","Okmulgee County","OK","Metro",42.6
"1329","Adams County","PA","Metro",55.5
"1330","Allegheny County","PA","Metro",69.7
"1331","Lycoming County","PA","Metro",52.4
"1332","Mifflin County","PA","Non-metro",49.9
"1333","Potter County","PA","Non-metro",37.6
"1334","Warren County","PA","Non-metro",49.5
"1335","Bayamon Municipio","PR","Metro",91.3
"1336","Jayuya Municipio","PR","Non-metro",81.6
"1337","Vega Alta Municipio","PR","Metro",70.2
"1338","Lee County","SC","Non-metro",47.8
"1339","Harding County","SD","Non-metro",18.8
"1340","Grainger County","TN","Metro",49.1
"1341","Haywood County","TN","Non-metro",52.3
"1342","Monroe County","TN","Non-metro",43.4
"1343","Sequatchie County","TN","Metro",34.9
"1344","Jefferson County","TX","Metro",51.1
"1345","Sutton County","TX","Non-metro",43.8
"1346","Titus County","TX","Non-metro",39.1
"1347","Dinwiddie County","VA","Metro",47.7
"1348","Klickitat County","WA","Non-metro",47.5
"1349","Skagit County","WA","Metro",67.2
"1350","Grant County","WI","Non-metro",55
"1351","Chilton County","AL","Metro",36.3
"1352","Coosa County","AL","Non-metro",40.6
"1353","Geneva County","AL","Metro",40.3
"1354","Pike County","AL","Non-metro",42.1
"1355","Chicot County","AR","Non-metro",54.5
"1356","Crawford County","AR","Metro",45.7
"1357","Hernando County","FL","Metro",54.8
"1358","Glascock County","GA","Non-metro",33.1
"1359","Jones County","IA","Metro",58.6
"1360","Elmore County","ID","Non-metro",54.1
"1361","Jefferson County","IL","Non-metro",47.1
"1362","Jay County","IN","Non-metro",38.7
"1363","Pawnee County","KS","Non-metro",53.8
"1364","St. Martin Parish","LA","Metro",40.3
"1365","Barnstable County","MA","Metro",NA
"1366","Berrien County","MI","Metro",56
"1367","Cass County","MI","Metro",43.5
"1368","Iosco County","MI","Non-metro",56.2
"1369","Putnam County","MO","Non-metro",33.6
"1370","Sweet Grass County","MT","Non-metro",40.8
"1371","Jackson County","NC","Non-metro",55
"1372","Union County","NC","Metro",55.5
"1373","Mineral County","NV","Non-metro",59.6
"1374","Comanche County","OK","Metro",60.7
"1375","Kay County","OK","Non-metro",42.8
"1376","Anasco Municipio","PR","Metro",76
"1377","Barranquitas Municipio","PR","Metro",81.7
"1378","Trujillo Alto Municipio","PR","Metro",75.1
"1379","Hamblen County","TN","Metro",42.8
"1380","Hutchinson County","TX","Non-metro",35
"1381","Marion County","TX","Non-metro",42
"1382","Midland County","TX","Metro",43.1
"1383","Sherman County","TX","Non-metro",34.8
"1384","Wilbarger County","TX","Non-metro",52.7
"1385","Franklin County","VA","Metro",43.6
"1386","Greensville County","VA","Non-metro",36.2
"1387","Mathews County","VA","Metro",61.5
"1388","Fairfax city","VA","Metro",67.6
"1389","Crawford County","WI","Non-metro",58.3
"1390","Unknown County","WI","",NA
"1391","Hardy County","WV","Non-metro",55.4
"1392","Marshall County","WV","Metro",44.9
"1393","Lincoln County","AR","Metro",35.3
"1394","Cochise County","AZ","Metro",64.9
"1395","La Paz County","AZ","Non-metro",48.4
"1396","Sutter County","CA","Metro",61.1
"1397","Flagler County","FL","Metro",63.4
"1398","Coweta County","GA","Metro",44.5
"1399","Madison County","GA","Metro",43.3
"1400","Upson County","GA","Non-metro",45.5
"1401","Benton County","IA","Metro",58.4
"1402","Keokuk County","IA","Non-metro",46.5
"1403","Bannock County","ID","Metro",52.3
"1404","Gibson County","IN","Non-metro",46.5
"1405","Whitley County","IN","Metro",47
"1406","Kingman County","KS","Metro",47
"1407","Lincoln County","KS","Non-metro",43.9
"1408","Sedgwick County","KS","Metro",54.1
"1409","Casey County","KY","Non-metro",36.3
"1410","Owsley County","KY","Non-metro",47.6
"1411","Whitley County","KY","Non-metro",44.4
"1412","Woodford County","KY","Metro",66.1
"1413","Bienville Parish","LA","Non-metro",49
"1414","Anne Arundel County","MD","Metro",76.7
"1415","Livingston County","MI","Metro",60.1
"1416","Ogemaw County","MI","Non-metro",45.3
"1417","Crow Wing County","MN","Non-metro",56.5
"1418","Sibley County","MN","Metro",49.2
"1419","Forrest County","MS","Metro",43.5
"1420","Lauderdale County","MS","Non-metro",51.3
"1421","Camden County","NC","Non-metro",62.2
"1422","Transylvania County","NC","Non-metro",55.8
"1423","Dona Ana County","NM","Metro",75.2
"1424","Santa Fe County","NM","Metro",81.1
"1425","Highland County","OH","Non-metro",37.9
"1426","Blaine County","OK","Non-metro",46.6
"1427","Grant County","OR","Non-metro",45.3
"1428","Salinas Municipio","PR","Non-metro",75.8
"1429","Falls County","TX","Metro",47.9
"1430","Kerr County","TX","Non-metro",50.7
"1431","Parker County","TX","Metro",54
"1432","Reeves County","TX","Non-metro",61.4
"1433","Daggett County","UT","Non-metro",66.6
"1434","San Juan County","UT","Non-metro",64.9
"1435","Nelson County","VA","Metro",56.2
"1436","Washington County","VT","Non-metro",47
"1437","Island County","WA","Non-metro",76.3
"1438","Pend Oreille County","WA","Metro",40.8
"1439","Ashland County","WI","Non-metro",71.7
"1440","Douglas County","WI","Metro",44.1
"1441","Price County","WI","Non-metro",62.2
"1442","Sheridan County","KS","Non-metro",35.5
"1443","Simpson County","KY","Non-metro",50.6
"1444","Todd County","KY","Non-metro",42.3
"1445","Calvert County","MD","Metro",70.7
"1446","Piscataquis County","ME","Non-metro",61.9
"1447","Isabella County","MI","Non-metro",44.7
"1448","Lapeer County","MI","Metro",47.4
"1449","Oakland County","MI","Metro",66.3
"1450","Bates County","MO","Metro",38.8
"1451","Crawford County","MO","Non-metro",33.5
"1452","Alcorn County","MS","Non-metro",39
"1453","Pontotoc County","MS","Non-metro",41.6
"1454","Fergus County","MT","Non-metro",46.9
"1455","Mitchell County","NC","Non-metro",50.1
"1456","Randolph County","NC","Metro",44.3
"1457","Stanly County","NC","Non-metro",43.2
"1458","Watauga County","NC","Non-metro",55.7
"1459","Garden County","NE","Non-metro",45.5
"1460","Kimball County","NE","Non-metro",34.9
"1461","Webster County","NE","Non-metro",38.4
"1462","Sullivan County","NH","Non-metro",62
"1463","Logan County","OH","Non-metro",42.8
"1464","Ottawa County","OH","Non-metro",61.5
"1465","Dauphin County","PA","Metro",63.3
"1466","Fairfield County","SC","Metro",64.3
"1467","Jackson County","SD","Non-metro",50.1
"1468","Marshall County","SD","Non-metro",52.2
"1469","Hamilton County","TN","Metro",56.4
"1470","Morgan County","TN","Metro",51.7
"1471","Union County","TN","Metro",34.9
"1472","Atascosa County","TX","Metro",52.1
"1473","Austin County","TX","Metro",47.8
"1474","Kimble County","TX","Non-metro",43
"1475","Lubbock County","TX","Metro",49.1
"1476","Wise County","TX","Metro",39.1
"1477","Davis County","UT","Metro",66.8
"1478","Salt Lake County","UT","Metro",69.9
"1479","Weber County","UT","Metro",61.4
"1480","Unknown County","UT","",NA
"1481","Westmoreland County","VA","Non-metro",45.4
"1482","Lynchburg city","VA","Metro",30.6
"1483","Manassas Park city","VA","Metro",44.1
"1484","Marathon County","WI","Metro",60.2
"1485","Trempealeau County","WI","Non-metro",66.1
"1486","Washington County","WI","Metro",57.7
"1487","Haines Borough","AK","Non-metro",68.6
"1488","Carroll County","AR","Non-metro",47.6
"1489","Navajo County","AZ","Non-metro",77.4
"1490","Sacramento County","CA","Metro",67.5
"1491","Santa Clara County","CA","Metro",86
"1492","Pueblo County","CO","Metro",56.7
"1493","Citrus County","FL","Metro",56.3
"1494","Lee County","GA","Metro",46.1
"1495","Montgomery County","GA","Non-metro",35.7
"1496","Wayne County","IA","Non-metro",41.9
"1497","Livingston County","IL","Non-metro",50.8
"1498","Winnebago County","IL","Metro",58.2
"1499","Franklin County","IN","Non-metro",37.7
"1500","Gove County","KS","Non-metro",48.1
"1501","Russell County","KS","Non-metro",43
"1502","Skagway Municipality","AK","Non-metro",70.2
"1503","Crenshaw County","AL","Non-metro",34.4
"1504","Stone County","AR","Non-metro",36.3
"1505","Pinal County","AZ","Metro",53.8
"1506","Santa Cruz County","AZ","Non-metro",95
"1507","Douglas County","CO","Metro",73.4
"1508","Windham County","CT","Metro",64
"1509","Kent County","DE","Metro",55.9
"1510","Jefferson County","FL","Metro",59.7
"1511","Okeechobee County","FL","Non-metro",46.3
"1512","Bacon County","GA","Non-metro",30.5
"1513","Floyd County","GA","Metro",42.3
"1514","Polk County","GA","Non-metro",38.8
"1515","Wilkinson County","GA","Non-metro",50.8
"1516","Humboldt County","IA","Non-metro",49.9
"1517","Scott County","IA","Metro",60.8
"1518","Shoshone County","ID","Non-metro",43
"1519","Unknown County","ID","",NA
"1520","Jersey County","IL","Metro",56
"1521","Piatt County","IL","Metro",62.1
"1522","Allen County","IN","Metro",52.3
"1523","Christian County","KY","Metro",36.3
"1524","Beauregard Parish","LA","Non-metro",35.8
"1525","Tensas Parish","LA","Non-metro",62.7
"1526","Androscoggin County","ME","Metro",70
"1527","Aroostook County","ME","Non-metro",69.1
"1528","Beltrami County","MN","Non-metro",67.7
"1529","Mille Lacs County","MN","Metro",57.8
"1530","Taney County","MO","Non-metro",40.5
"1531","Marshall County","MS","Metro",54.3
"1532","Gallatin County","MT","Non-metro",59.1
"1533","McCone County","MT","Non-metro",17.8
"1534","Cleveland County","NC","Non-metro",50
"1535","Edgecombe County","NC","Metro",48.7
"1536","Greene County","NC","Non-metro",62.2
"1537","Hyde County","NC","Non-metro",66.5
"1538","Dunn County","ND","Non-metro",24.5
"1539","Fillmore County","NE","Non-metro",52.2
"1540","Seward County","NE","Metro",50.2
"1541","Unknown County","NE","",NA
"1542","Union County","NJ","Metro",71.3
"1543","Jefferson County","NY","Metro",73.5
"1544","Franklin County","OH","Metro",64.3
"1545","Mercer County","OH","Non-metro",38.3
"1546","Summit County","OH","Metro",63.3
"1547","Carter County","OK","Non-metro",44
"1548","Guayanilla Municipio","PR","Metro",82
"1549","Penuelas Municipio","PR","Metro",84.7
"1550","Toa Baja Municipio","PR","Metro",78.1
"1551","Villalba Municipio","PR","Metro",90.4
"1552","Unknown County","RI","",NA
"1553","Hughes County","SD","Non-metro",71.6
"1554","Sully County","SD","Non-metro",44.5
"1555","Carson County","TX","Metro",37.1
"1556","Cass County","TX","Non-metro",35.3
"1557","Glasscock County","TX","Non-metro",45.1
"1558","Kinney County","TX","Non-metro",52.1
"1559","Montague County","TX","Non-metro",35.3
"1560","Rusk County","TX","Metro",39
"1561","Box Elder County","UT","Metro",52
"1562","Chittenden County","VT","Metro",73.8
"1563","Douglas County","WA","Metro",61.7
"1564","Cabell County","WV","Metro",60.3
"1565","Roane County","WV","Non-metro",48.1
"1566","Madison County","AL","Metro",62.1
"1567","Woodruff County","AR","Non-metro",56.4
"1568","Columbia County","FL","Non-metro",41.9
"1569","Lafayette County","FL","Non-metro",39.4
"1570","Taylor County","FL","Non-metro",40.1
"1571","Wakulla County","FL","Metro",44.9
"1572","Jackson County","GA","Non-metro",42.2
"1573","Richmond County","GA","Metro",49.5
"1574","Telfair County","GA","Non-metro",29.1
"1575","Fayette County","IL","Non-metro",36.2
"1576","Woodford County","IL","Metro",54.7
"1577","Boone County","IN","Metro",70.6
"1578","Floyd County","IN","Metro",56.5
"1579","Hendricks County","IN","Metro",71.9
"1580","Scott County","IN","Metro",43.9
"1581","White County","IN","Non-metro",54.6
"1582","Unknown County","IN","",NA
"1583","Ballard County","KY","Non-metro",38.4
"1584","Marshall County","KY","Non-metro",53.6
"1585","Worcester County","MA","Metro",69.8
"1586","Atchison County","MO","Non-metro",56
"1587","Cape Girardeau County","MO","Metro",48.9
"1588","Lawrence County","MO","Non-metro",37.9
"1589","Monroe County","MO","Non-metro",44.3
"1590","Reynolds County","MO","Non-metro",27.1
"1591","Wilkinson County","MS","Non-metro",65.4
"1592","Granite County","MT","Non-metro",36.9
"1593","Musselshell County","MT","Non-metro",34.8
"1594","Boone County","NE","Non-metro",49
"1595","Madison County","NE","Non-metro",45.8
"1596","Platte County","NE","Non-metro",47
"1597","Saline County","NE","Non-metro",52.9
"1598","Carson City","NV","Metro",64.2
"1599","Wood County","OH","Metro",61.8
"1600","Mayes County","OK","Non-metro",43.5
"1601","Butler County","PA","Metro",64.2
"1602","Yauco Municipio","PR","Metro",87.3
"1603","Charles Mix County","SD","Non-metro",54.6
"1604","Meade County","SD","Metro",54.2
"1605","Johnson County","TN","Non-metro",37.2
"1606","Marion County","TN","Metro",46.1
"1607","Montgomery County","TN","Metro",61
"1608","Overton County","TN","Non-metro",35.5
"1609","Rhea County","TN","Non-metro",43
"1610","Bastrop County","TX","Metro",58
"1611","Colorado County","TX","Non-metro",53
"1612","Hemphill County","TX","Non-metro",42
"1613","Karnes County","TX","Non-metro",57.7
"1614","Lamb County","TX","Non-metro",43.8
"1615","Taylor County","TX","Metro",51
"1616","Terry County","TX","Non-metro",42.1
"1617","Webb County","TX","Metro",95
"1618","Caroline County","VA","Metro",42.3
"1619","Buena Vista city","VA","Non-metro",37
"1620","Clark County","WA","Metro",64.7
"1621","Barron County","WI","Non-metro",53.5
"1622","Calumet County","WI","Metro",56.3
"1623","Polk County","WI","Non-metro",50.8
"1624","Prince of Wales-Hyder Census Area","AK","Non-metro",53.4
"1625","Jackson County","AL","Non-metro",49.3
"1626","Limestone County","AL","Metro",39
"1627","Tallapoosa County","AL","Non-metro",38.5
"1628","Marion County","AR","Non-metro",36
"1629","Mendocino County","CA","Non-metro",67.5
"1630","Garfield County","CO","Non-metro",64.5
"1631","Unknown County","DC","",NA
"1632","Glades County","FL","Non-metro",33.9
"1633","St. Lucie County","FL","Metro",58.4
"1634","Gilmer County","GA","Non-metro",40.8
"1635","Washington County","GA","Non-metro",44
"1636","Wilkes County","GA","Non-metro",48
"1637","Audubon County","IA","Non-metro",58.3
"1638","Marshall County","IL","Metro",57.3
"1639","Mason County","IL","Non-metro",53.8
"1640","Pope County","IL","Non-metro",35.9
"1641","Dubois County","IN","Non-metro",57.3
"1642","Hancock County","IN","Metro",67.7
"1643","Kiowa County","KS","Non-metro",51.1
"1644","Sherman County","KS","Non-metro",44.2
"1645","Jefferson County","KY","Metro",63.9
"1646","Magoffin County","KY","Non-metro",51.2
"1647","Hampshire County","MA","Metro",66.6
"1648","Martin County","MN","Non-metro",55.4
"1649","Henry County","MO","Non-metro",46
"1650","Johnson County","MO","Non-metro",41.8
"1651","Nodaway County","MO","Non-metro",49
"1652","Warren County","MO","Metro",41.8
"1653","Jefferson County","MS","Non-metro",71
"1654","Leflore County","MS","Non-metro",62.1
"1655","Walthall County","MS","Non-metro",41.5
"1656","Rowan County","NC","Metro",44.7
"1657","Sheridan County","ND","Non-metro",36.3
"1658","Douglas County","NE","Metro",66.6
"1659","Hamilton County","NE","Metro",46.3
"1660","Thomas County","NE","Non-metro",24.7
"1661","Catron County","NM","Non-metro",45.8
"1662","Unknown County","NM","",NA
"1663","Cattaraugus County","NY","Non-metro",56.3
"1664","Washington County","NY","Metro",66.6
"1665","Darke County","OH","Non-metro",39.4
"1666","Dewey County","OK","Non-metro",25.3
"1667","Dillon County","SC","Non-metro",44.5
"1668","Davison County","SD","Non-metro",61.5
"1669","Meigs County","TN","Non-metro",68.3
"1670","Roane County","TN","Metro",44.4
"1671","Maverick County","TX","Non-metro",94.6
"1672","Williamson County","TX","Metro",68.8
"1673","Bedford County","VA","Metro",44.6
"1674","St. Croix Island","VI","",NA
"1675","Pacific County","WA","Non-metro",59.4
"1676","Snohomish County","WA","Metro",70.7
"1677","Manitowoc County","WI","Non-metro",60.6
"1678","Marinette County","WI","Non-metro",52.9
"1679","Ozaukee County","WI","Metro",71.7
"1680","Harrison County","WV","Non-metro",52.2
"1681","Mason County","WV","Non-metro",49.6
"1682","Nicholas County","WV","Non-metro",52.7
"1683","Pleasants County","WV","Non-metro",52.3
"1684","Covington County","AL","Non-metro",38.1
"1685","Lauderdale County","AL","Metro",46.6
"1686","Little River County","AR","Metro",39.6
"1687","Monroe County","AR","Non-metro",55.9
"1688","Tulare County","CA","Metro",54.1
"1689","Charlotte County","FL","Metro",65.3
"1690","Clay County","FL","Metro",54
"1691","Hendry County","FL","Non-metro",49.7
"1692","Dawson County","GA","Metro",39.7
"1693","Elbert County","GA","Non-metro",42
"1694","Delaware County","IA","Non-metro",54.5
"1695","Unknown County","IA","",NA
"1696","Bonneville County","ID","Metro",53.5
"1697","Clay County","IL","Non-metro",38.5
"1698","Morgan County","IL","Non-metro",54.7
"1699","Williamson County","IL","Metro",55.5
"1700","Martin County","IN","Non-metro",45.2
"1701","Montgomery County","IN","Non-metro",45.6
"1702","Warrick County","IN","Metro",62.4
"1703","Elliott County","KY","Non-metro",35.6
"1704","St. Charles Parish","LA","Metro",56.8
"1705","Harford County","MD","Metro",69.8
"1706","Alcona County","MI","Non-metro",58.2
"1707","Tuscola County","MI","Non-metro",46
"1708","Oregon County","MO","Non-metro",31.2
"1709","Carbon County","MT","Metro",47.1
"1710","Hill County","MT","Non-metro",70.5
"1711","Teton County","MT","Non-metro",41.8
"1712","Cherokee County","NC","Non-metro",57.2
"1713","Polk County","NC","Non-metro",43.8
"1714","Lincoln County","NE","Non-metro",33.2
"1715","Hillsborough County","NH","Metro",62.7
"1716","Portage County","OH","Metro",57.3
"1717","Oklahoma County","OK","Metro",65
"1718","Caguas Municipio","PR","Metro",83
"1719","Rio Grande Municipio","PR","Metro",73.3
"1720","Williamsburg County","SC","Non-metro",57.2
"1721","Fentress County","TN","Non-metro",33.9
"1722","Houston County","TN","Non-metro",43.4
"1723","Polk County","TN","Metro",41.3
"1724","Wilson County","TN","Metro",53.3
"1725","Aransas County","TX","Metro",57.1
"1726","Comanche County","TX","Non-metro",47.2
"1727","Lamar County","TX","Non-metro",39.8
"1728","Rains County","TX","Non-metro",37
"1729","Uvalde County","TX","Non-metro",54.9
"1730","Thurston County","WA","Metro",69.2
"1731","Dane County","WI","Metro",82.7
"1732","Lowndes County","AL","Metro",51
"1733","Contra Costa County","CA","Metro",81.7
"1734","Yolo County","CA","Metro",70.1
"1735","Franklin County","FL","Non-metro",48.1
"1736","Indian River County","FL","Metro",67
"1737","Liberty County","GA","Metro",61.7
"1738","Oglethorpe County","GA","Metro",42.3
"1739","Peach County","GA","Metro",45.4
"1740","Ford County","IL","Metro",58
"1741","Jackson County","IN","Non-metro",53.1
"1742","Jennings County","IN","Non-metro",40.5
"1743","Hamilton County","KS","Non-metro",41.5
"1744","Montgomery County","KS","Non-metro",45.7
"1745","Clark County","KY","Metro",54.6
"1746","Henry County","KY","Metro",53.8
"1747","Berkshire County","MA","Metro",58.5
"1748","York County","ME","Metro",79.1
"1749","Jackson County","MI","Metro",52.4
"1750","Montmorency County","MI","Non-metro",54.4
"1751","Murray County","MN","Non-metro",54.6
"1752","Chickasaw County","MS","Non-metro",48.4
"1753","Copiah County","MS","Metro",54.2
"1754","Jefferson Davis County","MS","Non-metro",45.1
"1755","Powder River County","MT","Non-metro",22.9
"1756","Catawba County","NC","Metro",55.4
"1757","Ward County","ND","Non-metro",48.8
"1758","Schoharie County","NY","Metro",56.9
"1759","Steuben County","NY","Non-metro",59.9
"1760","Clermont County","OH","Metro",56.8
"1761","Warren County","OH","Metro",64
"1762","Roger Mills County","OK","Non-metro",36.7
"1763","Huntingdon County","PA","Non-metro",51.2
"1764","Dorado Municipio","PR","Metro",80.1
"1765","Guanica Municipio","PR","Metro",73.6
"1766","Brule County","SD","Non-metro",55.5
"1767","Perkins County","SD","Non-metro",32.1
"1768","Unknown County","TN","",NA
"1769","Cottle County","TX","Non-metro",32.4
"1770","Foard County","TX","Non-metro",43.8
"1771","Hardin County","TX","Metro",37.8
"1772","La Salle County","TX","Non-metro",64.7
"1773","Loving County","TX","Non-metro",20.1
"1774","Nolan County","TX","Non-metro",42.2
"1775","King George County","VA","Non-metro",41.6
"1776","Lancaster County","VA","Non-metro",60.1
"1777","Louisa County","VA","Non-metro",41.3
"1778","Warren County","VA","Metro",36.8
"1779","Colonial Heights city","VA","Metro",36.1
"1780","Roanoke city","VA","Metro",41.1
"1781","Addison County","VT","Non-metro",70.9
"1782","Ferry County","WA","Non-metro",56.3
"1783","Vilas County","WI","Non-metro",65.7
"1784","Winnebago County","WI","Metro",61.3
"1785","Boone County","WV","Metro",47.7
"1786","Wood County","WV","Metro",58.7
"1787","Rio Blanco County","CO","Non-metro",38.6
"1788","Fairfield County","CT","Metro",81.5
"1789","Baker County","FL","Metro",36.4
"1790","Liberty County","FL","Non-metro",34.2
"1791","Miami-Dade County","FL","Metro",84.7
"1792","Pinellas County","FL","Metro",64.5
"1793","Cobb County","GA","Metro",58.2
"1794","Van Buren County","IA","Non-metro",42.1
"1795","Noble County","IN","Non-metro",38.6
"1796","Linn County","KS","Metro",35.3
"1797","Nemaha County","KS","Non-metro",54.3
"1798","Unknown County","KS","",NA
"1799","Madison County","KY","Non-metro",47.9
"1800","Washington County","KY","Non-metro",51
"1801","Talbot County","MD","Non-metro",73.5
"1802","Baraga County","MI","Non-metro",60.8
"1803","Gratiot County","MI","Non-metro",46.1
"1804","Ingham County","MI","Metro",57.1
"1805","Big Stone County","MN","Non-metro",63.2
"1806","Winona County","MN","Non-metro",65
"1807","Jackson County","MO","Metro",57.1
"1808","Ste. Genevieve County","MO","Non-metro",44.9
"1809","Leake County","MS","Non-metro",48.5
"1810","Petroleum County","MT","Non-metro",30.6
"1811","Wibaux County","MT","Non-metro",28.5
"1812","Alamance County","NC","Metro",58.8
"1813","Caldwell County","NC","Metro",47.2
"1814","Currituck County","NC","Metro",59.6
"1815","Harnett County","NC","Non-metro",42.2
"1816","Emmons County","ND","Non-metro",33.9
"1817","Buffalo County","NE","Non-metro",41.8
"1818","Dakota County","NE","Metro",64.4
"1819","Gage County","NE","Non-metro",45
"1820","McPherson County","NE","Non-metro",14.8
"1821","Morris County","NJ","Metro",77.6
"1822","Salem County","NJ","Metro",55.5
"1823","Champaign County","OH","Non-metro",45.7
"1824","Garvin County","OK","Non-metro",46.4
"1825","Aguada Municipio","PR","Metro",76.6
"1826","Blount County","TN","Metro",52.2
"1827","McMinn County","TN","Non-metro",40.1
"1828","Pickett County","TN","Non-metro",44.8
"1829","Caldwell County","TX","Metro",56.9
"1830","Castro County","TX","Non-metro",44.7
"1831","Dawson County","TX","Non-metro",34.2
"1832","Erath County","TX","Non-metro",38.1
"1833","Fisher County","TX","Non-metro",36.5
"1834","Hale County","TX","Non-metro",44.8
"1835","Jim Wells County","TX","Non-metro",53.9
"1836","Bristol city","VA","Metro",68.5
"1837","Waukesha County","WI","Metro",70
"1838","Brooke County","WV","Metro",50.2
"1839","Baxter County","AR","Non-metro",46.9
"1840","Howard County","AR","Non-metro",54.3
"1841","Pulaski County","AR","Metro",58.2
"1842","Randolph County","AR","Non-metro",40.6
"1843","Jefferson County","AL","Metro",58.1
"1844","Lawrence County","AR","Non-metro",46.8
"1845","Miller County","AR","Metro",31.4
"1846","Nevada County","AR","Non-metro",43.9
"1847","Saline County","AR","Metro",50.5
"1848","Colusa County","CA","Non-metro",60.6
"1849","Monterey County","CA","Metro",72.4
"1850","Unknown County","CT","",NA
"1851","District of Columbia","DC","Metro",69.7
"1852","Candler County","GA","Non-metro",42.1
"1853","Dade County","GA","Metro",45.6
"1854","Greene County","IA","Non-metro",58.3
"1855","Lee County","IA","Non-metro",51.1
"1856","Minidoka County","ID","Non-metro",41.3
"1857","Massac County","IL","Non-metro",41
"1858","Richland County","IL","Non-metro",48.1
"1859","Grant County","IN","Non-metro",42
"1860","Pike County","IN","Non-metro",57.6
"1861","Rush County","IN","Non-metro",46.9
"1862","Boyle County","KY","Non-metro",56.9
"1863","Gallatin County","KY","Metro",41.2
"1864","Catahoula Parish","LA","Non-metro",40.6
"1865","St. Tammany Parish","LA","Metro",56.8
"1866","Vermilion Parish","LA","Metro",38.2
"1867","Vernon Parish","LA","Non-metro",56.4
"1868","Washington County","ME","Non-metro",72
"1869","Dickinson County","MI","Non-metro",66.2
"1870","St. Joseph County","MI","Non-metro",45.2
"1871","Wabasha County","MN","Metro",73.6
"1872","Carroll County","MS","Non-metro",41.2
"1873","Neshoba County","MS","Non-metro",41.5
"1874","Tyrrell County","NC","Non-metro",48.9
"1875","Walsh County","ND","Non-metro",57.8
"1876","Cumberland County","NJ","Metro",52.5
"1877","San Miguel County","NM","Non-metro",67.6
"1878","Torrance County","NM","Metro",48.3
"1879","Elko County","NV","Non-metro",42.3
"1880","Washoe County","NV","Metro",64.3
"1881","Lewis County","NY","Non-metro",52.1
"1882","Livingston County","NY","Metro",59.5
"1883","Seneca County","OH","Non-metro",48.9
"1884","Noble County","OK","Non-metro",62.5
"1885","Unknown County","PA","",NA
"1886","Las Marias Municipio","PR","Non-metro",87.2
"1887","Patillas Municipio","PR","Metro",80.5
"1888","Dewey County","SD","Non-metro",74.4
"1889","Edmunds County","SD","Non-metro",46
"1890","Hand County","SD","Non-metro",48.9
"1891","Dallas County","TX","Metro",60.4
"1892","Johnson County","TX","Metro",46.1
"1893","Kleberg County","TX","Non-metro",60.6
"1894","Shelby County","TX","Non-metro",36.2
"1895","Travis County","TX","Metro",70
"1896","Beaver County","UT","Non-metro",47.8
"1897","Pulaski County","VA","Metro",43.7
"1898","Richmond County","VA","Non-metro",41.1
"1899","Staunton city","VA","Metro",46.7
"1900","Burnett County","WI","Non-metro",57
"1901","Menominee County","WI","Non-metro",80.2
"1902","Oconto County","WI","Metro",53.2
"1903","Taylor County","WV","Non-metro",47.4
"1904","Laramie County","WY","Metro",56.1
"1905","Clay County","AR","Non-metro",45.7
"1906","Eagle County","CO","Non-metro",82.2
"1907","New Castle County","DE","Metro",68.7
"1908","Levy County","FL","Non-metro",47.2
"1909","Ben Hill County","GA","Non-metro",38.5
"1910","Bingham County","ID","Non-metro",48.3
"1911","Bonner County","ID","Non-metro",43.1
"1912","Edgar County","IL","Non-metro",48.7
"1913","Schuyler County","IL","Non-metro",56
"1914","Carroll County","IN","Metro",35.5
"1915","Henry County","IN","Non-metro",52.1
"1916","Tippecanoe County","IN","Metro",57.4
"1917","Harper County","KS","Non-metro",48.2
"1918","Lyon County","KS","Non-metro",57.5
"1919","Rush County","KS","Non-metro",50.6
"1920","Seward County","KS","Non-metro",45.9
"1921","Red River Parish","LA","Non-metro",36.8
"1922","Clearwater County","MN","Non-metro",41.8
"1923","Redwood County","MN","Non-metro",54.4
"1924","Dallas County","MO","Metro",34.9
"1925","Simpson County","MS","Metro",45.1
"1926","Warren County","MS","Non-metro",57.5
"1927","Blaine County","MT","Non-metro",85.4
"1928","Chouteau County","MT","Non-metro",33
