"","county","state","metro","vaccinated"
"282","Palo Pinto County","TX","Non-metro",38.8
"283","Schleicher County","TX","Non-metro",42.5
"284","Piute County","UT","Non-metro",38.3
"285","Augusta County","VA","Metro",48.9
"286","Prince George County","VA","Metro",50.5
"287","San Juan County","WA","Non-metro",81.6
"288","Walla Walla County","WA","Metro",63.5
"289","Denali Borough","AK","Non-metro",54.2
"290","Escambia County","AL","Non-metro",36.5
"291","Hale County","AL","Metro",61.3
"292","Montgomery County","AL","Metro",52.1
"293","Sumter County","AL","Non-metro",51.3
"294","Coconino County","AZ","Metro",76.8
"295","Amador County","CA","Non-metro",53.1
"296","Arapahoe County","CO","Metro",68.1
"297","Huerfano County","CO","Non-metro",54.2
"298","Sedgwick County","CO","Non-metro",52.5
"299","McIntosh County","GA","Metro",41.3
"300","Talbot County","GA","Non-metro",48.4
"301","Chickasaw County","IA","Non-metro",54.9
"302","Hardin County","IA","Non-metro",56.1
"303","Mitchell County","IA","Non-metro",48.8
"304","Adams County","ID","Non-metro",43.9
"305","Jefferson County","ID","Metro",43
"306","Franklin County","IL","Non-metro",44.9
"307","Stark County","IL","Metro",53.4
"308","Warren County","IL","Non-metro",49.9
"309","Kosciusko County","IN","Non-metro",40.7
"310","Trego County","KS","Non-metro",39.3
"311","Calloway County","KY","Non-metro",45.6
"312","Johnson County","KY","Non-metro",50.3
"313","West Baton Rouge Parish","LA","Metro",53.7
"314","Carroll County","MD","Metro",72
"315","Butler County","MO","Non-metro",34.4
"316","Douglas County","MO","Non-metro",24.1
"317","Tate County","MS","Metro",44.9
"318","Custer County","MT","Non-metro",43.9
"319","Golden Valley County","MT","Metro",46.3
"320","Moore County","NC","Non-metro",59.7
"321","Wake County","NC","Metro",73.4
"322","Cass County","NE","Metro",61.6
"323","Burlington County","NJ","Metro",74.4
"324","Colfax County","NM","Non-metro",61.8
"325","Harding County","NM","Non-metro",57.9
"326","Erie County","OH","Non-metro",59.2
"327","Union County","OH","Metro",62.3
"328","Pontotoc County","OK","Non-metro",51
"329","Deschutes County","OR","Metro",69
"330","Elk County","PA","Non-metro",56
"331","Philadelphia County","PA","Metro",69.3
"332","Chester County","SC","Metro",46
"333","Saluda County","SC","Metro",30.3
"334","Bon Homme County","SD","Non-metro",57.7
"335","Walworth County","SD","Non-metro",48.9
"336","Obion County","TN","Non-metro",41.7
"337","Crosby County","TX","Metro",45.3
"338","Red River County","TX","Non-metro",41.4
"339","Bland County","VA","Non-metro",38.8
"340","York County","VA","Metro",67.4
"341","Green County","WI","Metro",64.1
"342","Uinta County","WY","Non-metro",51.2
"343","Sioux County","IA","Non-metro",41.7
"344","Benewah County","ID","Non-metro",51.7
"345","Clearwater County","ID","Non-metro",42.5
"346","Fremont County","ID","Non-metro",45.2
"347","Brown County","IL","Non-metro",54
"348","Edwards County","IL","Non-metro",40.3
"349","Saline County","IL","Non-metro",48.5
"350","Washington County","IL","Non-metro",58.7
"351","Randolph County","IN","Non-metro",45.5
"352","Vermillion County","IN","Metro",46.8
"353","Gray County","KS","Non-metro",46
"354","Greenwood County","KS","Non-metro",49.5
"355","Metcalfe County","KY","Non-metro",40.6
"356","Livingston Parish","LA","Metro",39.8
"357","Unknown County","MA","",NA
"358","St. Mary's County","MD","Metro",66.5
"359","Alger County","MI","Non-metro",62.3
"360","Delta County","MI","Non-metro",61.5
"361","Morrison County","MN","Non-metro",49.2
"362","Lincoln County","MO","Metro",39
"363","Jones County","NC","Metro",54.4
"364","Macon County","NC","Non-metro",58.6
"365","Grant County","NM","Non-metro",69.2
"366","Los Alamos County","NM","Non-metro",84
"367","Kings County","NY","Metro",71.8
"368","Pottawatomie County","OK","Non-metro",49.2
"369","Rogers County","OK","Metro",46.7
"370","Baker County","OR","Non-metro",70.2
"371","Union County","OR","Non-metro",49.1
"372","Erie County","PA","Metro",59.5
"373","Moca Municipio","PR","Metro",84
"374","Unknown County","PR","",NA
"375","Gibson County","TN","Non-metro",45.5
"376","Greene County","TN","Non-metro",46.3
"377","Putnam County","TN","Non-metro",51
"378","Armstrong County","TX","Metro",41
"379","Bexar County","TX","Metro",69.4
"380","Hockley County","TX","Non-metro",43
"381","Hood County","TX","Metro",50.4
"382","McLennan County","TX","Metro",52.1
"383","Shackelford County","TX","Non-metro",37.6
"384","Upton County","TX","Non-metro",40.9
"385","Hopewell city","VA","Metro",31.4
"386","Sawyer County","WI","Non-metro",60
"387","Barbour County","WV","Non-metro",49.6
"388","Greene County","AL","Non-metro",50.7
"389","Ashley County","AR","Non-metro",50
"390","Clark County","AR","Non-metro",48.8
"391","Franklin County","AR","Non-metro",48.5
"392","Gulf County","FL","Metro",51.8
"393","Clinch County","GA","Non-metro",39.9
"394","Irwin County","GA","Non-metro",36.6
"395","Jefferson County","GA","Non-metro",54.1
"396","Tattnall County","GA","Non-metro",32.9
"397","Ida County","IA","Non-metro",48.8
"398","Page County","IA","Non-metro",53.3
"399","Cherokee County","AL","Non-metro",30.7
"400","DeKalb County","AL","Non-metro",33.9
"401","Boone County","AR","Non-metro",37.4
"402","Hempstead County","AR","Non-metro",40.1
"403","Polk County","AR","Non-metro",35.5
"404","Unknown County","AZ","",NA
"405","Chaffee County","CO","Non-metro",64
"406","Washington County","FL","Non-metro",32.5
"407","Walton County","GA","Metro",41.2
"408","Howard County","IA","Non-metro",51.6
"409","Montgomery County","IA","Non-metro",56.4
"410","Clark County","ID","Non-metro",43.2
"411","Franklin County","ID","Metro",44.9
"412","Lawrence County","IL","Non-metro",40.9
"413","Mitchell County","KS","Non-metro",53.4
"414","Bath County","KY","Non-metro",53.9
"415","Logan County","KY","Non-metro",50.9
"416","Caddo Parish","LA","Metro",48.5
"417","Nantucket County","MA","Non-metro",NA
"418","Eaton County","MI","Metro",57
"419","Huron County","MI","Non-metro",54.1
"420","Manistee County","MI","Non-metro",59.9
"421","Marquette County","MI","Non-metro",64
"422","Mason County","MI","Non-metro",60.6
"423","Sanilac County","MI","Non-metro",42.6
"424","Mahnomen County","MN","Non-metro",60
"425","Todd County","MN","Non-metro",42.9
"426","Buchanan County","MO","Metro",38.6
"427","Miller County","MO","Non-metro",33.4
"428","Osage County","MO","Metro",39.7
"429","St. Francois County","MO","Non-metro",43.5
"430","Claiborne County","MS","Non-metro",55
"431","Pike County","MS","Non-metro",50.4
"432","Durham County","NC","Metro",71.2
"433","Graham County","NC","Non-metro",49.9
"434","Ransom County","ND","Non-metro",58.8
"435","Bergen County","NJ","Metro",77.4
"436","Westchester County","NY","Metro",81
"437","Medina County","OH","Metro",64
"438","Richland County","OH","Metro",44.1
"439","Canadian County","OK","Metro",58.1
"440","Clatsop County","OR","Non-metro",66.4
"441","Clearfield County","PA","Non-metro",49.9
"442","Crawford County","PA","Non-metro",49.2
"443","Wyoming County","PA","Metro",59.9
"444","York County","SC","Metro",49.2
"445","Minnehaha County","SD","Metro",66.6
"446","Anderson County","TN","Metro",55.9
"447","Clay County","TN","Non-metro",29.8
"448","Jefferson County","TN","Metro",50.1
"449","Weakley County","TN","Non-metro",38.2
"450","Wheeler County","TX","Non-metro",42.9
"451","Isle of Wight County","VA","Metro",52
"452","Stafford County","VA","Metro",58.6
"453","Lewis County","WV","Non-metro",57.7
"454","Big Horn County","WY","Non-metro",39.5
"455","St. Clair County","AL","Metro",39.1
"456","Maricopa County","AZ","Metro",57.2
"457","Lake County","CA","Non-metro",59.2
"458","Lincoln County","CO","Non-metro",36
"459","Prowers County","CO","Non-metro",43
"460","Fannin County","GA","Non-metro",41.9
"461","Hall County","GA","Metro",45.1
"462","Lanier County","GA","Metro",27
"463","McDuffie County","GA","Metro",44.9
"464","Randolph County","GA","Non-metro",46.3
"465","Union County","GA","Non-metro",45.5
"466","Hawaii County","HI","Non-metro",NA
