"","country","latitude","longitude"
"65","Suriname",4.09872359592017,-55.8555143115613
"66","Trinidad and Tobago",10.5800557629749,-61.2197021599914
"67","Turks and Caicos Islands",21.7145641469767,-71.5874961978158
"68","US Virgin Islands",17.9974117028822,-64.8223722946981
"69","Venezuela",7.16282059783679,-66.3611235270097
"70","Burkina Faso",12.1087090363127,-1.69328162118423
"71","Cabo Verde",16.0683021029035,-23.9674431370949
"72","Côte d'Ivoire",7.53677927942131,-5.57171019491773
"73","Gambia",13.4286179591893,-15.3833803858697
"74","Ghana",7.94530467243628,-1.21923336252658
"75","Gibraltar",36.1402267133608,-5.34554948459436
"76","Guinea",10.2559865413781,-10.9869488480402
"77","Guinea-Bissau",11.8905100556201,-15.1530596981327
"78","Liberia",6.52012979398834,-9.25898893549762
"79","Mali",17.1681462085848,-4.34639984178115
"80","Mauritania",20.46673121282,-10.4950790450357
"81","Morocco",28.6875981349793,-8.81721258725081
"82","Portugal",38.0202883437467,-16.8326569310596
"83","Senegal",14.2288614917634,-14.6108753683523
"84","Sierra Leone",8.54359329315396,-11.8087815665535
"85","Greenland",74.147936015195,-42.1867936429987
"86","Guernsey",49.4587077137887,-2.57639258289157
"87","Ireland",53.3061467620702,-8.25882676187456
"88","Isle of Man",54.2285530100801,-4.53299505546845
"89","Jersey",49.2153969257243,-2.12916011626536
"90","United Kingdom",54.9008322786185,-3.15699556322275
"91","Iceland",65.1236092020551,-19.056829671061
"92","Faroe Islands",61.9710145324428,-6.85202042896381
"93","Svalbard",76.4856439829183,13.3601633161115
"94","Bouvet Island",-54.4231667939525,3.41196946505763
"95","New Zealand",-43.6574788458179,56.8666541811743
"96","Angola",-11.8975894764466,17.4780080462529
"97","Botswana",-22.2366090020629,23.8577995699561
"98","Burundi",-3.26125199327864,29.8851822784529
"99","Comoros",-11.9694455952208,43.8181751927212
"100","Congo",-0.729439159523384,14.8797328494914
"101","Congo DRC",-3.3386295962079,23.4198275742822
"102","Gabon",-0.628448459921234,11.8394108985458
"103","Kenya",0.689918231837618,37.9530941126237
"104","Lesotho",-29.6016811692482,28.2447531786423
"105","Malawi",-13.128986464184,34.2344118229888
"106","Juan De Nova Island",-17.064491936308,42.7437476108964
"107","Mozambique",-17.5252303094887,35.2085770312902
"108","Namibia",-21.9085816328147,18.1645134584527
"109","Rwanda",-2.01468746004715,29.9194396817641
"110","Sao Tome and Principe",0.772833071355826,6.91198672463805
"111","South Africa",-32.7297661731127,27.578231339253
"112","Eswatini",-26.5625409356087,31.510685746082
"113","Tanzania",-6.35360420423765,34.9357426476848
"114","Zambia",-13.1628329531862,27.755213634309
"115","Zimbabwe",-18.9270012198147,29.7178296407208
"116","British Indian Ocean Territory",-7.32354844438574,72.4350161847602
"117","French Southern Territories",-48.2657956714671,63.2974131020609
"118","Heard Island and McDonald Islands",-53.0841700355137,73.4929856084404
"119","Madagascar",-19.0416361249304,46.6849346683254
"120","Mauritius",-20.0605017037634,59.6886127186801
"121","Mayotte",-12.8214499951657,45.1486738388392
"122","Glorioso Islands",-11.5662248716434,47.2909480815434
"123","Réunion",-21.1198254606651,55.5439350619469
"124","Seychelles",-6.84734113213923,51.2890417536597
"125","Algeria",28.3509697448891,2.65584647197691
"126","Benin",9.50301319961589,2.30571452883021
"127","Cameroon",6.29416848748099,12.9484741423983
"128","Central African Republic",6.33139003394432,20.5207434193973
"129","Chad",15.2834935466545,18.427113900363
"130","Equatorial Guinea",2.16345301148848,9.91774792168059
"131","Kiribati",1.68607741621195,-42.29462747902
"132","Libya",27.2029157716908,17.9113339245424
"133","Malta",35.8905226508993,14.4419224425085
"134","Niger",17.0810539240729,8.86863247002646
"135","Nigeria",9.60970737648159,8.14763271871704
"136","Togo",8.66074303771781,0.899085757110968
"137","Tunisia",34.0863617956572,9.65587551697984
"138","Cyprus",35.1170041634524,33.3753460091992
"139","Djibouti",11.7502357276188,42.6134968987895
"140","Egypt",26.6051703445063,30.2401354350123
"141","Eritrea",15.0055331476677,39.2672401449901
"142","Ethiopia",8.7293895570484,39.9149028865443
"143","Greece",38.4186493701619,24.2555963886321
"144","Iraq",33.1050756675279,43.8325291810569
"145","Israel",31.5135422200432,35.027923472437
"146","Jordan",31.3870648844492,36.9572888454725
"147","Lebanon",33.9116017072209,35.8965194632475
"148","Palestinian Territory",31.8208284211589,35.030830985631
"149","South Sudan",7.6577820417633,30.3851856901788
"150","Sudan",15.6706023098426,29.9514582835941
